parent,child,premise,conclusion,label
weapon,bat,weapons are daxable,bats are daxable,yes
food,butter,food is daxable,butter is daxable,yes
auto part,odometer,auto parts are daxable,odometers are daxable,yes
container,coffee pot,containers are daxable,coffee pots are daxable,yes
garden tool,spear,garden tools are daxable,spears are daxable,no
container,duct,containers are daxable,ducts are daxable,no
office supply,paper,office supplies are daxable,paper is daxable,yes
school supply,album,school supplies are daxable,albums are daxable,no
tool,crossbow,tools are daxable,crossbows are daxable,no
headwear,hairnet,headwear is daxable,hairnets are daxable,yes
dessert,souffle,desserts are daxable,souffles are daxable,yes
candy,chocolate,candy is daxable,chocolates are daxable,yes
animal,grain,animals are daxable,grains are daxable,no
drink,honey,drinks are daxable,honey is daxable,no
container,lunchbox,containers are daxable,lunchboxes are daxable,yes
home decor,music box,home decor is daxable,music boxes are daxable,no
tool,eclair,tools are daxable,eclairs are daxable,no
vegetable,cilantro,vegetables are daxable,cilantro is daxable,yes
animal,donkey,animals are daxable,donkeys are daxable,yes
food,onion,food is daxable,onions are daxable,yes
footwear,rollerblade,footwear is daxable,rollerblades are daxable,yes
protective clothing,leggings,protective clothing is daxable,leggings are daxable,no
food,headscarf,food is daxable,headscarves are daxable,no
furniture,cot,furniture is daxable,cots are daxable,yes
accessory,banana,accessories are daxable,bananas are daxable,no
fastener,nutcracker,fasteners are daxable,nutcrackers are daxable,no
footwear,sprouts,footwear is daxable,sprouts are daxable,no
fastener,hotdog,fasteners are daxable,hotdogs are daxable,no
food,calf,food is daxable,calves are daxable,no
furniture,cougar,furniture is daxable,cougars are daxable,no
container,vial,containers are daxable,vials are daxable,yes
breakfast,strap,breakfasts are daxable,straps are daxable,no
container,wheelbarrow,containers are daxable,wheelbarrows are daxable,yes
sea animal,washing machine,sea animals are daxable,washing machines are daxable,no
electronic device,cord,electronic devices are daxable,cords are daxable,no
school supply,whiteboard,school supplies are daxable,whiteboards are daxable,yes
office supply,wolf,office supplies are daxable,wolves are daxable,no
animal,zebra,animals are daxable,zebras are daxable,yes
women's clothing,turtleneck,women's clothes are daxable,turtlenecks are daxable,no
footwear,stiletto,footwear is daxable,stilettoes are daxable,yes
vegetable,onion,vegetables are daxable,onions are daxable,yes
fruit,gourd,fruits are daxable,gourds are daxable,no
tool,fountain pen,tools are daxable,fountain pens are daxable,yes
bird,donkey,birds are daxable,donkeys are daxable,no
fastener,hook,fasteners are daxable,hooks are daxable,yes
electronic device,shredder,electronic devices are daxable,shredders are daxable,yes
kitchen tool,cooker,kitchen tools are daxable,cookers are daxable,no
animal,eel,animals are daxable,eels are daxable,yes
fastener,latch,fasteners are daxable,latches are daxable,yes
food,sea urchin,food is daxable,sea urchins are daxable,no
toiletry,diaper,toiletries are daxable,diapers are daxable,yes
garden tool,hoe,garden tools are daxable,hoes are daxable,yes
fastener,peg,fasteners are daxable,pegs are daxable,yes
tool,magnifier,tools are daxable,magnifiers are daxable,yes
auto part,car door,auto parts are daxable,car doors are daxable,yes
insect,bracket,insects are daxable,brackets are daxable,no
garden tool,meatball,garden tools are daxable,meatballs are daxable,no
kitchen tool,rolling pin,kitchen tools are daxable,rolling pins are daxable,yes
vegetable,quiche,vegetables are daxable,quiches are daxable,no
food,blender,food is daxable,blenders are daxable,no
tool,crutch,tools are daxable,crutches are daxable,no
electronic device,copier,electronic devices are daxable,copiers are daxable,yes
vehicle,garbage truck,vehicles are daxable,garbage trucks are daxable,yes
furniture,beanbag,furniture is daxable,beanbags are daxable,yes
vehicle,dashboard,vehicles are daxable,dashboards are daxable,no
bird,coaster,birds are daxable,coasters are daxable,no
food,carrot,food is daxable,carrots are daxable,yes
footwear,insole,footwear is daxable,insoles are daxable,no
clothing,sock,clothing is daxable,socks are daxable,yes
home decor,goblet,home decor is daxable,goblets are daxable,no
sea animal,slug,sea animals are daxable,slugs are daxable,no
electronic device,gear,electronic devices are daxable,gears are daxable,no
home decor,squirrel,home decor is daxable,squirrels are daxable,no
toy,dreidel,toys are daxable,dreidels are daxable,yes
container,kitten,containers are daxable,kittens are daxable,no
home decor,sombrero,home decor is daxable,sombreros are daxable,no
bird,swan,birds are daxable,swans are daxable,yes
food,sweater,food is daxable,sweaters are daxable,no
container,watering can,containers are daxable,watering cans are daxable,yes
animal,flower,animals are daxable,flowers are daxable,no
kitchen tool,pan,kitchen tools are daxable,pans are daxable,no
tool,hoe,tools are daxable,hoes are daxable,yes
musical instrument,candlestick,musical instruments are daxable,candlesticks are daxable,no
insect,ladybug,insects are daxable,ladybugs are daxable,yes
furniture,curtain,furniture is daxable,curtains are daxable,no
food,insole,food is daxable,insoles are daxable,no
animal,sushi,animals are daxable,sushi is daxable,no
container,airboat,containers are daxable,airboats are daxable,no
drink,glass,drinks are daxable,glasses are daxable,no
drink,espresso,drinks are daxable,an espresso is daxable,yes
fruit,raisin,fruits are daxable,raisins are daxable,yes
candy,webcam,candy is daxable,webcams are daxable,no
insect,polygraph,insects are daxable,polygraphs are daxable,no
auto part,peach,auto parts are daxable,peaches are daxable,no
kitchen equipment,dryer,kitchen equipment is daxable,dryers are daxable,no
container,green beans,containers are daxable,green beans are daxable,no
medical equipment,brass knuckles,medical equipment is daxable,brass knuckles are daxable,no
animal,pigeon,animals are daxable,pigeons are daxable,yes
electronic device,tick,electronic devices are daxable,ticks are daxable,no
food,lemonade,food is daxable,lemonades are daxable,no
animal,basil,animals are daxable,basil is daxable,no
food,cape,food is daxable,capes are daxable,no
container,owl,containers are daxable,owls are daxable,no
vehicle,yacht,vehicles are daxable,yachts are daxable,yes
weapon,machine gun,weapons are daxable,machine guns are daxable,yes
office supply,notepad,office supplies are daxable,notepads are daxable,yes
plant,rhubarb,plants are daxable,rhubarbs are daxable,no
clothing,cardigan,clothing is daxable,cardigans are daxable,yes
vegetable,revolver,vegetables are daxable,revolvers are daxable,no
fruit,tomato,fruits are daxable,tomatoes are daxable,yes
office supply,rack,office supplies are daxable,racks are daxable,no
dessert,popsicle,desserts are daxable,popsicles are daxable,yes
outerwear,watermelon,outerwear is daxable,watermelons are daxable,no
food,pan,food is daxable,pans are daxable,no
outerwear,pants,outerwear is daxable,pants are daxable,no
food,vending machine,food is daxable,vending machines are daxable,no
fastener,needle,fasteners are daxable,needles are daxable,no
vehicle,gearshift,vehicles are daxable,gearshifts are daxable,no
clothing,pantyhose,clothing is daxable,pantyhoses are daxable,yes
kitchen tool,ratchet,kitchen tools are daxable,ratchets are daxable,no
fastener,pedal,fasteners are daxable,pedals are daxable,no
animal,razor blade,animals are daxable,razor blades are daxable,no
weapon,dart,weapons are daxable,darts are daxable,yes
tool,slicer,tools are daxable,slicers are daxable,no
electronic device,tape recorder,electronic devices are daxable,tape recorders are daxable,yes
animal,pocket watch,animals are daxable,pocket watches are daxable,no
headwear,wig,headwear is daxable,wigs are daxable,yes
clothing,jersey,clothing is daxable,jerseys are daxable,yes
weapon,nutcracker,weapons are daxable,nutcrackers are daxable,no
container,luggage,containers are daxable,luggage is daxable,yes
toy,toy,toys are daxable,toys are daxable,yes
livestock,antelope,livestocks are daxable,antelopes are daxable,no
office supply,paperclip,office supplies are daxable,paperclips are daxable,yes
animal,horse,animals are daxable,horses are daxable,yes
animal,weed,animals are daxable,weeds are daxable,no
food,birthday cake,food is daxable,birthday cakes are daxable,yes
home decor,rug,home decor is daxable,rugs are daxable,yes
tool,vise,tools are daxable,a vise is daxable,yes
food,parfait,food is daxable,parfaits are daxable,yes
plant,ukulele,plants are daxable,ukuleles are daxable,no
office supply,gyro,office supplies are daxable,gyros are daxable,no
kitchen equipment,cooker,kitchen equipment is daxable,cookers are daxable,yes
electronic device,camcorder,electronic devices are daxable,camcorders are daxable,yes
seafood,catfish,seafood is daxable,catfish are daxable,yes
protective clothing,lab coat,protective clothing is daxable,lab coats are daxable,yes
mammal,toad,mammals are daxable,toads are daxable,no
container,cabinet,containers are daxable,cabinets are daxable,yes
school supply,stew,school supplies are daxable,stew is daxable,no
mammal,calculator,mammals are daxable,calculators are daxable,no
tool,cannon,tools are daxable,cannons are daxable,no
container,fig,containers are daxable,figs are daxable,no
electronic device,modem,electronic devices are daxable,modems are daxable,yes
office supply,paintbrush,office supplies are daxable,paintbrushes are daxable,no
garden tool,wire cutters,garden tools are daxable,wire cutters are daxable,no
mammal,bear,mammals are daxable,bears are daxable,yes
auto part,wheel,auto parts are daxable,wheels are daxable,yes
garden tool,pliers,garden tools are daxable,pliers are daxable,no
home decor,gourd,home decor is daxable,gourds are daxable,yes
animal,moth,animals are daxable,moths are daxable,yes
school supply,guinea pig,school supplies are daxable,guinea pigs are daxable,no
furniture,mattress,furniture is daxable,mattresses are daxable,yes
auto part,tank,auto parts are daxable,tanks are daxable,no
animal,harmonica,animals are daxable,harmonicas are daxable,no
tool,thermos,tools are daxable,thermoses are daxable,no
mammal,guinea pig,mammals are daxable,guinea pigs are daxable,yes
water vehicle,boat,water vehicles are daxable,boats are daxable,yes
sea animal,turtle,sea animals are daxable,turtles are daxable,yes
kitchen equipment,microwave,kitchen equipment is daxable,microwaves are daxable,yes
food,buffet,food is daxable,buffets are daxable,yes
breakfast,ravioli,breakfasts are daxable,ravioli is daxable,no
outerwear,fur coat,outerwear is daxable,fur coats are daxable,yes
animal,mongoose,animals are daxable,mongooses are daxable,yes
clothing,bandana,clothing is daxable,bandanas are daxable,yes
food,moss,food is daxable,mosses are daxable,no
fruit,hovercraft,fruits are daxable,hovercrafts are daxable,no
electronic device,microwave,electronic devices are daxable,microwaves are daxable,yes
home decor,piglet,home decor is daxable,piglets are daxable,no
mammal,pigeon,mammals are daxable,pigeons are daxable,no
clothing,pocket,clothing is daxable,pockets are daxable,no
container,dandelion,containers are daxable,dandelions are daxable,no
fruit,melon,fruits are daxable,melons are daxable,yes
dessert,ravioli,desserts are daxable,ravioli is daxable,no
mammal,rat,mammals are daxable,rats are daxable,yes
toy,tostada,toys are daxable,tostadas are daxable,no
vehicle,rocket,vehicles are daxable,rockets are daxable,yes
bird,puffin,birds are daxable,puffins are daxable,yes
animal,wheat,animals are daxable,wheat is daxable,no
weapon,watermelon,weapons are daxable,watermelons are daxable,no
women's clothing,quiche,women's clothes are daxable,quiches are daxable,no
musical instrument,music box,musical instruments are daxable,music boxes are daxable,no
auto part,steering wheel,auto parts are daxable,steering wheels are daxable,yes
mammal,wire,mammals are daxable,wires are daxable,no
tool,jam,tools are daxable,jams are daxable,no
seafood,lamb chop,seafood is daxable,lamb chops are daxable,no
dessert,peanut butter,desserts are daxable,peanut butter is daxable,no
vehicle,cheesecake,vehicles are daxable,cheesecake is daxable,no
electronic device,lamb,electronic devices are daxable,lambs are daxable,no
animal,gazelle,animals are daxable,gazelles are daxable,yes
protective clothing,jumpsuit,protective clothing is daxable,jumpsuits are daxable,no
food,sandpaper,food is daxable,sandpapers are daxable,no
women's clothing,skirt,women's clothes are daxable,skirts are daxable,yes
food,saffron,food is daxable,saffron is daxable,yes
animal,mango,animals are daxable,mangoes are daxable,no
food,cow,food is daxable,cows are daxable,no
tool,screw,tools are daxable,screws are daxable,yes
animal,sardine,animals are daxable,sardines are daxable,yes
tool,raspberry,tools are daxable,raspberries are daxable,no
dessert,peppermint,desserts are daxable,peppermints are daxable,no
drink,sawhorse,drinks are daxable,sawhorses are daxable,no
food,lime,food is daxable,limes are daxable,yes
clothing,puppet,clothing is daxable,puppets are daxable,no
water vehicle,aircraft carrier,water vehicles are daxable,aircraft carriers are daxable,yes
electronic device,vacuum,electronic devices are daxable,vacuum cleaners are daxable,yes
water vehicle,ship,water vehicles are daxable,ships are daxable,yes
livestock,pig,livestocks are daxable,pigs are daxable,yes
livestock,bracket,livestocks are daxable,brackets are daxable,no
footwear,mitten,footwear is daxable,mittens are daxable,no
plant,ring,plants are daxable,rings are daxable,no
auto part,headlight,auto parts are daxable,headlights are daxable,yes
mammal,crow,mammals are daxable,crows are daxable,no
water vehicle,torpedo,water vehicles are daxable,torpedoes are daxable,yes
food,rolling pin,food is daxable,rolling pins are daxable,no
tool,thermometer,tools are daxable,thermometers are daxable,yes
food,beet,food is daxable,beets are daxable,yes
clothing,leek,clothing is daxable,leeks are daxable,no
toiletry,leopard,toiletries are daxable,leopards are daxable,no
clothing,panties,clothing is daxable,panties are daxable,yes
plant,orchid,plants are daxable,orchids are daxable,yes
livestock,cow,livestocks are daxable,cows are daxable,yes
headwear,crown,headwear is daxable,crowns are daxable,yes
dessert,cheese,desserts are daxable,cheeses are daxable,yes
headwear,bowler hat,headwear is daxable,bowler hats are daxable,yes
toiletry,eyedropper,toiletries are daxable,eyedroppers are daxable,no
dessert,raspberry,desserts are daxable,raspberries are daxable,no
kitchen tool,corkscrew,kitchen tools are daxable,corkscrews are daxable,yes
clothing,biscuit,clothing is daxable,biscuits are daxable,no
livestock,turkey,livestocks are daxable,turkeys are daxable,yes
container,pita,containers are daxable,pita is daxable,no
garden tool,toast,garden tools are daxable,toast is daxable,no
mammal,stereo,mammals are daxable,stereos are daxable,no
women's clothing,jeans,women's clothes are daxable,jeans are daxable,no
tool,chain,tools are daxable,chains are daxable,yes
vehicle,stretcher,vehicles are daxable,stretchers are daxable,no
home decor,chandelier,home decor is daxable,chandeliers are daxable,yes
plant,pear,plants are daxable,pears are daxable,no
animal,lettuce,animals are daxable,a lettuce is daxable,no
weapon,granola,weapons are daxable,granola is daxable,no
musical instrument,tambourine,musical instruments are daxable,tambourines are daxable,yes
sea animal,duck,sea animals are daxable,ducks are daxable,no
fruit,cantaloupe,fruits are daxable,cantaloupes are daxable,yes
dessert,milkshake,desserts are daxable,milkshakes are daxable,yes
food,appetizer,food is daxable,appetizers are daxable,yes
musical instrument,squash,musical instruments are daxable,squash is daxable,no
medical equipment,penlight,medical equipment is daxable,penlights are daxable,yes
kitchen tool,spatula,kitchen tools are daxable,spatulas are daxable,yes
mammal,mirror,mammals are daxable,mirrors are daxable,no
container,polar bear,containers are daxable,polar bears are daxable,no
food,egg roll,food is daxable,egg rolls are daxable,yes
animal,seagull,animals are daxable,seagulls are daxable,yes
weapon,ham,weapons are daxable,hams are daxable,no
food,lobster,food is daxable,lobsters are daxable,yes
insect,tarantula,insects are daxable,tarantulas are daxable,no
kitchen tool,funnel,kitchen tools are daxable,funnels are daxable,yes
animal,lightning bug,animals are daxable,lightning bugs are daxable,yes
clothing,hood,clothing is daxable,hoods are daxable,no
food,starfish,food is daxable,starfish are daxable,no
vegetable,pomegranate,vegetables are daxable,pomegranates are daxable,no
animal,scallop,animals are daxable,scallops are daxable,yes
mammal,llama,mammals are daxable,llamas are daxable,yes
mammal,dog,mammals are daxable,dogs are daxable,yes
furniture,throne,furniture is daxable,thrones are daxable,yes
tool,hubcap,tools are daxable,hubcaps are daxable,no
clothing,soup,clothing is daxable,soups are daxable,no
clothing,button,clothing is daxable,buttons are daxable,no
musical instrument,aardvark,musical instruments are daxable,aardvarks are daxable,no
office supply,mongoose,office supplies are daxable,mongooses are daxable,no
food,cupcake,food is daxable,cupcakes are daxable,yes
condiment,biscuit,condiments are daxable,biscuits are daxable,no
fastener,tape,fasteners are daxable,tapes are daxable,yes
musical instrument,guitar,musical instruments are daxable,guitars are daxable,yes
animal,needle,animals are daxable,needles are daxable,no
plant,fern,plants are daxable,ferns are daxable,yes
bird,hummingbird,birds are daxable,hummingbirds are daxable,yes
medical equipment,stretcher,medical equipment is daxable,stretchers are daxable,yes
vehicle,wheelbarrow,vehicles are daxable,wheelbarrows are daxable,no
tool,chime,tools are daxable,chimes are daxable,no
accessory,spinach,accessories are daxable,spinach is daxable,no
container,oilcan,containers are daxable,oilcans are daxable,yes
musical instrument,saxophone,musical instruments are daxable,saxophones are daxable,yes
food,poinsettia,food is daxable,poinsettias are daxable,no
container,tupperware,containers are daxable,tupperware is daxable,yes
animal,gondola,animals are daxable,gondolas are daxable,no
vehicle,space shuttle,vehicles are daxable,space shuttles are daxable,yes
weapon,axe,weapons are daxable,axes are daxable,yes
food,wineglass,food is daxable,wineglasses are daxable,no
kitchen tool,kettle,kitchen tools are daxable,kettles are daxable,yes
vehicle,dirt bike,vehicles are daxable,dirt bikes are daxable,yes
protective clothing,jacket,protective clothing is daxable,jackets are daxable,no
food,terrarium,food is daxable,terrariums are daxable,no
furniture,star fruit,furniture is daxable,star fruits are daxable,no
toy,yo-yo,toys are daxable,yo-yos are daxable,yes
mammal,funnel,mammals are daxable,funnels are daxable,no
animal,frame,animals are daxable,frames are daxable,no
container,terrarium,containers are daxable,terrariums are daxable,yes
food,ring,food is daxable,rings are daxable,no
mammal,catfish,mammals are daxable,catfish are daxable,no
food,grass,food is daxable,grass is daxable,no
women's clothing,robe,women's clothes are daxable,robes are daxable,no
school supply,eraser,school supplies are daxable,erasers are daxable,yes
tool,eagle,tools are daxable,eagles are daxable,no
food,cake mix,food is daxable,cake mixes are daxable,yes
livestock,bison,livestocks are daxable,bisons are daxable,yes
clothing,apple,clothing is daxable,apples are daxable,no
clothing,coverall,clothing is daxable,coveralls are daxable,yes
fruit,brussels sprouts,fruits are daxable,brussels sprouts are daxable,no
food,bell,food is daxable,bells are daxable,no
toiletry,reindeer,toiletries are daxable,reindeers are daxable,no
animal,lanyard,animals are daxable,lanyards are daxable,no
food,goose,food is daxable,geese are daxable,yes
plant,lavender,plants are daxable,lavenders are daxable,yes
protective clothing,gyro,protective clothing is daxable,gyros are daxable,no
mammal,raccoon,mammals are daxable,raccoons are daxable,yes
sea animal,blowfish,sea animals are daxable,blowfish are daxable,yes
food,sled,food is daxable,sleds are daxable,no
animal,coconut,animals are daxable,coconuts are daxable,no
food,snowshoe,food is daxable,snowshoes are daxable,no
food,mixer,food is daxable,mixers are daxable,no
jewelry,makeup,jewelry is daxable,makeup is daxable,no
food,plaster cast,food is daxable,plaster casts are daxable,no
clothing,bowtie,clothing is daxable,bowties are daxable,yes
furniture,car seat,furniture is daxable,car seats are daxable,no
accessory,blouse,accessories are daxable,blouses are daxable,no
women's clothing,tortilla,women's clothes are daxable,tortillas are daxable,no
food,corsage,food is daxable,corsages are daxable,no
toiletry,cow,toiletries are daxable,cows are daxable,no
electronic device,music box,electronic devices are daxable,music boxes are daxable,yes
vegetable,carrot,vegetables are daxable,carrots are daxable,yes
tool,tongs,tools are daxable,tongs are daxable,yes
tool,bracket,tools are daxable,brackets are daxable,yes
tool,lock,tools are daxable,locks are daxable,yes
food,grits,food is daxable,grits are daxable,yes
food,weather vane,food is daxable,weather vanes are daxable,no
livestock,piglet,livestocks are daxable,piglets are daxable,yes
water vehicle,cashew,water vehicles are daxable,cashews are daxable,no
vehicle,stuffing,vehicles are daxable,stuffing is daxable,no
musical instrument,taco,musical instruments are daxable,tacos are daxable,no
food,cracker,food is daxable,crackers are daxable,yes
vehicle,hot-air balloon,vehicles are daxable,hot-air balloons are daxable,yes
school supply,notebook,school supplies are daxable,notebooks are daxable,yes
toiletry,razor,toiletries are daxable,razors are daxable,yes
toy,guacamole,toys are daxable,guacamole is daxable,no
dessert,briefcase,desserts are daxable,briefcases are daxable,no
fruit,pear,fruits are daxable,pears are daxable,yes
animal,bonsai,animals are daxable,bonsai are daxable,no
accessory,purse,accessories are daxable,purses are daxable,yes
tool,boomerang,tools are daxable,boomerangs are daxable,no
clothing,kimono,clothing is daxable,kimonos are daxable,yes
office supply,ink,office supplies are daxable,ink is daxable,yes
musical instrument,accordion,musical instruments are daxable,accordions are daxable,yes
vehicle,pomegranate,vehicles are daxable,pomegranates are daxable,no
food,oyster,food is daxable,oysters are daxable,yes
weapon,arrow,weapons are daxable,arrows are daxable,yes
toiletry,clipper,toiletries are daxable,clippers are daxable,yes
weapon,meatball,weapons are daxable,meatballs are daxable,no
vehicle,car door,vehicles are daxable,car doors are daxable,no
food,arugula,food is daxable,arugula is daxable,yes
weapon,chisel,weapons are daxable,chisels are daxable,no
vehicle,tugboat,vehicles are daxable,tugboats are daxable,yes
plant,pineapple,plants are daxable,pineapples are daxable,no
food,squirt gun,food is daxable,squirt guns are daxable,no
medical equipment,nail clippers,medical equipment is daxable,nail clippers are daxable,no
garden tool,lasagna,garden tools are daxable,lasagna is daxable,no
electronic device,cockroach,electronic devices are daxable,cockroaches are daxable,no
mammal,camel,mammals are daxable,camels are daxable,yes
animal,chick,animals are daxable,chicks are daxable,yes
women's clothing,vest,women's clothes are daxable,vests are daxable,no
tool,revolver,tools are daxable,revolvers are daxable,no
weapon,jam,weapons are daxable,jams are daxable,no
mammal,porcupine,mammals are daxable,porcupines are daxable,yes
food,green beans,food is daxable,green beans are daxable,yes
water vehicle,pomegranate,water vehicles are daxable,pomegranates are daxable,no
office supply,file,office supplies are daxable,files are daxable,yes
electronic device,cockatoo,electronic devices are daxable,cockatoos are daxable,no
condiment,mustard,condiments are daxable,mustard is daxable,yes
animal,wine bottle,animals are daxable,wine bottles are daxable,no
home decor,nightstand,home decor is daxable,nightstands are daxable,no
mammal,cellphone,mammals are daxable,cellphones are daxable,no
footwear,scallop,footwear is daxable,scallops are daxable,no
bird,headrest,birds are daxable,headrests are daxable,no
container,sandbag,containers are daxable,sandbags are daxable,yes
furniture,loveseat,furniture is daxable,loveseats are daxable,yes
food,flour,food is daxable,flour is daxable,yes
weapon,icepick,weapons are daxable,icepicks are daxable,yes
electronic device,stereo,electronic devices are daxable,stereos are daxable,yes
game,pinball,games are daxable,pinballs are daxable,yes
tool,clipper,tools are daxable,clippers are daxable,yes
seafood,screw,seafood is daxable,screws are daxable,no
tool,pastry,tools are daxable,pastries are daxable,no
food,razor,food is daxable,razors are daxable,no
jewelry,urn,jewelry is daxable,urns are daxable,no
food,beanbag,food is daxable,beanbags are daxable,no
vehicle,hotdog,vehicles are daxable,hotdogs are daxable,no
mammal,seagull,mammals are daxable,seagulls are daxable,no
container,kettle,containers are daxable,kettles are daxable,yes
accessory,headband,accessories are daxable,headbands are daxable,yes
mammal,icepick,mammals are daxable,icepicks are daxable,no
container,tractor,containers are daxable,tractors are daxable,no
kitchen equipment,canister,kitchen equipment is daxable,canisters are daxable,no
drink,pug,drinks are daxable,pugs are daxable,no
plant,locker,plants are daxable,lockers are daxable,no
tool,blowtorch,tools are daxable,blowtorches are daxable,yes
tool,slug,tools are daxable,slugs are daxable,no
electronic device,coffeemaker,electronic devices are daxable,coffeemakers are daxable,yes
fastener,clasp,fasteners are daxable,clasps are daxable,yes
food,cotton candy,food is daxable,cotton candy is daxable,yes
accessory,boa,accessories are daxable,boas are daxable,yes
tool,curling iron,tools are daxable,curling irons are daxable,yes
jewelry,perfume,jewelry is daxable,perfumes are daxable,no
accessory,underwear,accessories are daxable,underwear is daxable,no
medical equipment,first-aid kit,medical equipment is daxable,first-aid kits are daxable,yes
food,mushroom,food is daxable,mushrooms are daxable,yes
tool,crank,tools are daxable,cranks are daxable,yes
electronic device,yak,electronic devices are daxable,yaks are daxable,no
kitchen tool,chisel,kitchen tools are daxable,chisels are daxable,no
game,yak,games are daxable,yaks are daxable,no
fruit,peach,fruits are daxable,peaches are daxable,yes
food,fondue,food is daxable,fondues are daxable,yes
mammal,rooster,mammals are daxable,roosters are daxable,no
medical equipment,watermelon,medical equipment is daxable,watermelons are daxable,no
accessory,meatloaf,accessories are daxable,a meatloaf is daxable,no
tool,parsley,tools are daxable,parsley is daxable,no
breakfast,burrito,breakfasts are daxable,burritos are daxable,no
accessory,bear,accessories are daxable,bears are daxable,no
food,potato,food is daxable,potatoes are daxable,yes
outerwear,vest,outerwear is daxable,vests are daxable,no
food,turkey,food is daxable,turkeys are daxable,yes
animal,muff,animals are daxable,muffs are daxable,no
livestock,chicken,livestocks are daxable,a chicken is daxable,yes
drink,gazelle,drinks are daxable,gazelles are daxable,no
dessert,sword,desserts are daxable,swords are daxable,no
fastener,zipper,fasteners are daxable,zippers are daxable,yes
food,shaving cream,food is daxable,shaving cream is daxable,no
vegetable,bell pepper,vegetables are daxable,bell peppers are daxable,yes
food,shortbread,food is daxable,shortbread is daxable,yes
tool,razor,tools are daxable,razors are daxable,yes
breakfast,french fries,breakfasts are daxable,french fries are daxable,yes
candy,candy cane,candy is daxable,candy canes are daxable,yes
container,peanut,containers are daxable,peanuts are daxable,no
breakfast,peanut butter,breakfasts are daxable,peanut butter is daxable,yes
food,coffee,food is daxable,coffee is daxable,no
accessory,bolo tie,accessories are daxable,bolo ties are daxable,yes
seafood,shrimp,seafood is daxable,shrimps are daxable,yes
food,oven,food is daxable,ovens are daxable,no
water vehicle,kiwi,water vehicles are daxable,kiwis are daxable,no
animal,broccoli,animals are daxable,broccoli is daxable,no
animal,razor,animals are daxable,razors are daxable,no
food,gingerbread man,food is daxable,gingerbread men are daxable,yes
clothing,t-shirt,clothing is daxable,t-shirts are daxable,yes
food,coffee pot,food is daxable,coffee pots are daxable,no
electronic device,camera,electronic devices are daxable,cameras are daxable,yes
animal,letter opener,animals are daxable,letter openers are daxable,no
game,noisemaker,games are daxable,noisemakers are daxable,no
sea animal,remote control,sea animals are daxable,remote controls are daxable,no
livestock,lightbulb,livestocks are daxable,lightbulbs are daxable,no
bird,pelican,birds are daxable,pelicans are daxable,yes
vehicle,taillight,vehicles are daxable,taillights are daxable,no
animal,vulture,animals are daxable,vultures are daxable,yes
animal,headlight,animals are daxable,headlights are daxable,no
game,domino,games are daxable,dominoes are daxable,yes
kitchen tool,poodle,kitchen tools are daxable,poodles are daxable,no
food,spatula,food is daxable,spatulas are daxable,no
furniture,coat rack,furniture is daxable,coat racks are daxable,yes
tool,bat,tools are daxable,bats are daxable,no
fruit,radish,fruits are daxable,radishes are daxable,no
food,papaya,food is daxable,papayas are daxable,yes
food,arrow,food is daxable,arrows are daxable,no
food,grapefruit,food is daxable,grapefruits are daxable,yes
jewelry,bracelet,jewelry is daxable,bracelets are daxable,yes
tool,icepick,tools are daxable,icepicks are daxable,yes
mammal,laptop,mammals are daxable,laptops are daxable,no
garden tool,machete,garden tools are daxable,machetes are daxable,no
container,flask,containers are daxable,flasks are daxable,yes
animal,turkey,animals are daxable,turkeys are daxable,yes
school supply,highlighter,school supplies are daxable,highlighters are daxable,yes
school supply,alpaca,school supplies are daxable,alpacas are daxable,no
water vehicle,kayak,water vehicles are daxable,kayaks are daxable,yes
musical instrument,xylophone,musical instruments are daxable,xylophones are daxable,yes
container,caterpillar,containers are daxable,caterpillars are daxable,no
vehicle,onion,vehicles are daxable,onions are daxable,no
tool,ruler,tools are daxable,rulers are daxable,yes
outerwear,bun,outerwear is daxable,buns are daxable,no
accessory,glasses,accessories are daxable,glasses are daxable,yes
food,peanut butter,food is daxable,peanut butter is daxable,yes
animal,hippopotamus,animals are daxable,hippos are daxable,yes
clothing,nightshirt,clothing is daxable,nightshirts are daxable,yes
kitchen tool,scoop,kitchen tools are daxable,scoops are daxable,yes
animal,egg,animals are daxable,eggs are daxable,no
tool,margarita,tools are daxable,margaritas are daxable,no
plant,ivy,plants are daxable,ivy is daxable,yes
school supply,tablet,school supplies are daxable,tablets are daxable,no
food,applesauce,food is daxable,applesauce is daxable,yes
food,cornmeal,food is daxable,cornmeal is daxable,yes
bird,lightning bug,birds are daxable,lightning bugs are daxable,no
food,bottle opener,food is daxable,bottle openers are daxable,no
mammal,weasel,mammals are daxable,weasels are daxable,yes
clothing,stiletto,clothing is daxable,stilettoes are daxable,yes
home decor,wind chimes,home decor is daxable,wind chimes are daxable,yes
protective clothing,bulletproof vest,protective clothing is daxable,bulletproof vests are daxable,yes
outerwear,jacket,outerwear is daxable,jackets are daxable,yes
vegetable,papaya,vegetables are daxable,papayas are daxable,no
animal,apron,animals are daxable,aprons are daxable,no
container,vase,containers are daxable,vases are daxable,yes
sea animal,mussel,sea animals are daxable,mussels are daxable,yes
vehicle,limousine,vehicles are daxable,limousines are daxable,yes
auto part,piglet,auto parts are daxable,piglets are daxable,no
electronic device,doorknob,electronic devices are daxable,doorknobs are daxable,no
