model,model-type,concept1,concept2,raw-counts,accuracy
llava,vlm,flower arrangement,arrangement,"(3, 3)",100
llava,vlm,fireplace,enclosure,"(4, 4)",100
llava,vlm,lamb,mammal,"(4, 4)",100
llava,vlm,lamb,vertebrate,"(4, 4)",100
llava,vlm,lamb,animal,"(4, 4)",100
llava,vlm,gravel,rock,"(11, 11)",100
llava,vlm,parrot,bird,"(10, 12)",83.33333333
llava,vlm,parrot,vertebrate,"(11, 12)",91.66666667
llava,vlm,parrot,animal,"(11, 12)",91.66666667
llava,vlm,microphone,electronic device,"(1, 1)",100
llava,vlm,microphone,device,"(1, 1)",100
llava,vlm,collar,band,"(64, 75)",85.33333333
llava,vlm,collar,strip,"(64, 75)",85.33333333
llava,vlm,meat,food,"(11, 11)",100
llava,vlm,river,body of water,"(33, 33)",100
llava,vlm,woman,adult,"(569, 605)",94.04958678
llava,vlm,woman,person,"(577, 605)",95.37190083
llava,vlm,vase,jar,"(64, 65)",98.46153846
llava,vlm,vase,vessel,"(63, 65)",96.92307692
llava,vlm,vase,container,"(63, 65)",96.92307692
llava,vlm,jar,vessel,"(63, 64)",98.4375
llava,vlm,jar,container,"(63, 64)",98.4375
llava,vlm,tower,building,"(51, 52)",98.07692308
llava,vlm,tower,structure,"(52, 52)",100
llava,vlm,sword,weapon,"(4, 4)",100
llava,vlm,graffiti,artwork,"(10, 12)",83.33333333
llava,vlm,graffiti,art,"(10, 12)",83.33333333
llava,vlm,seagull,aquatic bird,"(8, 10)",80
llava,vlm,seagull,bird,"(8, 10)",80
llava,vlm,seagull,vertebrate,"(9, 10)",90
llava,vlm,seagull,animal,"(9, 10)",90
llava,vlm,aquatic bird,bird,"(8, 8)",100
llava,vlm,aquatic bird,vertebrate,"(7, 8)",87.5
llava,vlm,aquatic bird,animal,"(8, 8)",100
llava,vlm,blouse,top,"(2, 2)",100
llava,vlm,blouse,woman's clothing,"(2, 2)",100
llava,vlm,blouse,clothing,"(2, 2)",100
llava,vlm,top,woman's clothing,"(26, 39)",66.66666667
llava,vlm,top,clothing,"(29, 39)",74.35897436
llava,vlm,woman's clothing,clothing,"(37, 40)",92.5
llava,vlm,glove,baseball equipment,"(54, 74)",72.97297297
llava,vlm,glove,sports equipment,"(62, 74)",83.78378378
llava,vlm,glove,equipment,"(64, 74)",86.48648649
llava,vlm,baseball equipment,sports equipment,"(59, 60)",98.33333333
llava,vlm,baseball equipment,equipment,"(58, 60)",96.66666667
llava,vlm,wetsuit,garment,"(183, 196)",93.36734694
llava,vlm,wetsuit,clothing,"(186, 196)",94.89795918
llava,vlm,receipt,paper,"(2, 2)",100
llava,vlm,champagne,wine,"(7, 7)",100
llava,vlm,champagne,alcohol,"(6, 7)",85.71428571
llava,vlm,champagne,beverage,"(7, 7)",100
llava,vlm,tunnel,passageway,"(3, 3)",100
llava,vlm,girl,person,"(116, 119)",97.4789916
llava,vlm,sail,piece of cloth,"(2, 2)",100
llava,vlm,sail,clothing,"(2, 2)",100
llava,vlm,ketchup,condiment,"(1, 1)",100
llava,vlm,ketchup,food,"(1, 1)",100
llava,vlm,condiment,food,"(3, 5)",60
llava,vlm,dispenser,container,"(5, 5)",100
llava,vlm,bun,bread,"(5, 5)",100
llava,vlm,bun,baked good,"(5, 5)",100
llava,vlm,bun,food,"(4, 5)",80
llava,vlm,planter,pot,"(17, 18)",94.44444444
llava,vlm,planter,vessel,"(18, 18)",100
llava,vlm,planter,container,"(17, 18)",94.44444444
llava,vlm,urinal,plumbing fixture,"(8, 9)",88.88888889
llava,vlm,urinal,fixture,"(8, 9)",88.88888889
llava,vlm,plumbing fixture,fixture,"(155, 166)",93.37349398
llava,vlm,branch,stalk,"(6, 6)",100
llava,vlm,suit,garment,"(9, 10)",90
llava,vlm,suit,clothing,"(10, 10)",100
llava,vlm,sauce,condiment,"(3, 3)",100
llava,vlm,sauce,food,"(1, 3)",33.33333333
llava,vlm,puddle,body of water,"(1, 2)",50
llava,vlm,shoe,footwear,"(57, 58)",98.27586207
llava,vlm,shoe,covering,"(46, 58)",79.31034483
llava,vlm,hallway,corridor,"(3, 3)",100
llava,vlm,hallway,passage,"(3, 3)",100
llava,vlm,corridor,passage,"(3, 3)",100
llava,vlm,cucumber,vegetable,"(2, 2)",100
llava,vlm,cucumber,produce,"(2, 2)",100
llava,vlm,cucumber,food,"(2, 2)",100
llava,vlm,toothbrush,brush,"(49, 52)",94.23076923
llava,vlm,toothbrush,tool,"(44, 52)",84.61538462
llava,vlm,purse,bag,"(57, 59)",96.61016949
llava,vlm,purse,container,"(45, 59)",76.27118644
llava,vlm,picture,artwork,"(91, 94)",96.80851064
llava,vlm,picture,art,"(88, 94)",93.61702128
llava,vlm,uniform,clothing,"(25, 25)",100
llava,vlm,pitcher,athlete,"(4, 4)",100
llava,vlm,pitcher,person,"(3, 4)",75
llava,vlm,cookie,baked good,"(6, 6)",100
llava,vlm,cookie,food,"(6, 6)",100
llava,vlm,lemon,citrus fruit,"(8, 8)",100
llava,vlm,lemon,fruit,"(7, 8)",87.5
llava,vlm,lemon,food,"(8, 8)",100
llava,vlm,citrus fruit,fruit,"(15, 16)",93.75
llava,vlm,citrus fruit,food,"(16, 16)",100
llava,vlm,bowl,vessel,"(92, 96)",95.83333333
llava,vlm,bowl,container,"(93, 96)",96.875
llava,vlm,racket,sports equiment,"(324, 359)",90.25069638
llava,vlm,sausage,meat,"(6, 6)",100
llava,vlm,sausage,food,"(6, 6)",100
llava,vlm,bookshelf,shelf,"(36, 36)",100
llava,vlm,drawer,container,"(51, 56)",91.07142857
llava,vlm,couch,seat,"(34, 34)",100
llava,vlm,couch,furniture,"(30, 34)",88.23529412
llava,vlm,trash,waste,"(3, 4)",75
llava,vlm,wool,clothing,"(0, 0)",0
llava,vlm,bike,motor vehicle,"(122, 138)",88.4057971
llava,vlm,bike,wheeled vehicle,"(130, 138)",94.20289855
llava,vlm,bike,vehicle,"(119, 138)",86.23188406
llava,vlm,vest,garment,"(2, 2)",100
llava,vlm,vest,clothing,"(2, 2)",100
llava,vlm,napkin,table linen,"(120, 130)",92.30769231
llava,vlm,napkin,linen,"(125, 130)",96.15384615
llava,vlm,napkin,covering,"(116, 130)",89.23076923
llava,vlm,table linen,linen,"(187, 194)",96.39175258
llava,vlm,table linen,covering,"(179, 194)",92.26804124
llava,vlm,linen,covering,"(181, 196)",92.34693878
llava,vlm,audience,gathering,"(1, 1)",100
llava,vlm,audience,group,"(1, 1)",100
llava,vlm,gathering,group,"(6, 6)",100
llava,vlm,coat,garment,"(241, 252)",95.63492063
llava,vlm,coat,clothing,"(240, 252)",95.23809524
llava,vlm,surfboard,board,"(446, 465)",95.91397849
llava,vlm,pan,kitchen utensil,"(25, 28)",89.28571429
llava,vlm,pan,utensil,"(25, 28)",89.28571429
llava,vlm,policeman,person,"(3, 3)",100
llava,vlm,ring,jewelry,"(15, 16)",93.75
llava,vlm,ring,ornament,"(15, 16)",93.75
llava,vlm,ring,decoration,"(16, 16)",100
llava,vlm,hat,headgear,"(246, 273)",90.10989011
llava,vlm,hat,covering,"(195, 273)",71.42857143
llava,vlm,couple,people,"(6, 6)",100
llava,vlm,bicycle,wheeled vehicle,"(14, 16)",87.5
llava,vlm,bicycle,vehicle,"(10, 16)",62.5
llava,vlm,surfer,athlete,"(40, 42)",95.23809524
llava,vlm,surfer,person,"(41, 42)",97.61904762
llava,vlm,cow,cattle,"(279, 287)",97.21254355
llava,vlm,cow,mammal,"(273, 287)",95.12195122
llava,vlm,cow,vertebrate,"(272, 287)",94.77351916
llava,vlm,cow,animal,"(276, 287)",96.16724739
llava,vlm,tray,receptacle,"(39, 40)",97.5
llava,vlm,tray,container,"(40, 40)",100
llava,vlm,receptacle,container,"(40, 40)",100
llava,vlm,fur,animal skin,"(21, 21)",100
llava,vlm,boy,person,"(142, 147)",96.59863946
llava,vlm,house,building,"(42, 43)",97.6744186
llava,vlm,house,structure,"(40, 43)",93.02325581
llava,vlm,jeep,car,"(4, 6)",66.66666667
llava,vlm,jeep,motor vehicle,"(5, 6)",83.33333333
llava,vlm,jeep,wheeled vehicle,"(6, 6)",100
llava,vlm,jeep,vehicle,"(4, 6)",66.66666667
llava,vlm,fish,vertebrate,"(6, 6)",100
llava,vlm,fish,animal,"(6, 6)",100
llava,vlm,dog,canine,"(1065, 1103)",96.55485041
llava,vlm,dog,mammal,"(1045, 1103)",94.74161378
llava,vlm,dog,vertebrate,"(1012, 1103)",91.74977335
llava,vlm,dog,animal,"(1074, 1103)",97.37080689
llava,vlm,canine,mammal,"(1030, 1076)",95.72490706
llava,vlm,canine,vertebrate,"(1004, 1076)",93.30855019
llava,vlm,canine,animal,"(1053, 1076)",97.86245353
llava,vlm,chicken,domestic fowl,"(27, 27)",100
llava,vlm,chicken,bird,"(27, 27)",100
llava,vlm,chicken,vertebrate,"(26, 27)",96.2962963
llava,vlm,chicken,animal,"(27, 27)",100
llava,vlm,domestic fowl,bird,"(27, 28)",96.42857143
llava,vlm,domestic fowl,vertebrate,"(26, 28)",92.85714286
llava,vlm,domestic fowl,animal,"(27, 28)",96.42857143
llava,vlm,placemat,pad,"(20, 22)",90.90909091
llava,vlm,tie,neckwear,"(1, 1)",100
llava,vlm,tie,garment,"(1, 1)",100
llava,vlm,tie,clothing,"(1, 1)",100
llava,vlm,neckwear,garment,"(1, 1)",100
llava,vlm,neckwear,clothing,"(1, 1)",100
llava,vlm,foil,sheet metal,"(3, 3)",100
llava,vlm,foil,sheet,"(3, 3)",100
llava,vlm,sheet metal,sheet,"(3, 3)",100
llava,vlm,driver,person,"(1, 1)",100
llava,vlm,television,electronic device,"(75, 78)",96.15384615
llava,vlm,television,device,"(74, 78)",94.87179487
llava,vlm,earring,jewelry,"(2, 2)",100
llava,vlm,earring,ornament,"(2, 2)",100
llava,vlm,earring,decoration,"(2, 2)",100
llava,vlm,spatula,kitchen utensil,"(10, 11)",90.90909091
llava,vlm,spatula,utensil,"(9, 11)",81.81818182
llava,vlm,ocean,body of water,"(55, 56)",98.21428571
llava,vlm,jacket,coat,"(166, 172)",96.51162791
llava,vlm,jacket,garment,"(166, 172)",96.51162791
llava,vlm,jacket,clothing,"(164, 172)",95.34883721
llava,vlm,pouch,bag,"(7, 7)",100
llava,vlm,pouch,container,"(6, 7)",85.71428571
llava,vlm,counter,table,"(64, 66)",96.96969697
llava,vlm,counter,furniture,"(63, 66)",95.45454545
llava,vlm,fan,device,"(5, 5)",100
llava,vlm,liquor,alcohol,"(2, 2)",100
llava,vlm,liquor,beverage,"(2, 2)",100
llava,vlm,elephant,mammal,"(210, 217)",96.77419355
llava,vlm,elephant,vertebrate,"(211, 217)",97.23502304
llava,vlm,elephant,animal,"(210, 217)",96.77419355
llava,vlm,tent,shelter,"(12, 12)",100
llava,vlm,tent,structure,"(12, 12)",100
llava,vlm,shelter,structure,"(13, 13)",100
llava,vlm,juice,beverage,"(14, 16)",87.5
llava,vlm,phone,electronic device,"(98, 104)",94.23076923
llava,vlm,phone,device,"(99, 104)",95.19230769
llava,vlm,platform,structure,"(19, 19)",100
llava,vlm,dock,enclosure,"(11, 11)",100
llava,vlm,football,ball,"(9, 10)",90
llava,vlm,football,sports equipment,"(9, 10)",90
llava,vlm,football,equipment,"(7, 10)",70
llava,vlm,monitor,electronic device,"(10, 10)",100
llava,vlm,monitor,device,"(10, 10)",100
llava,vlm,frog,amphibian,"(1, 1)",100
llava,vlm,frog,vertebrate,"(1, 1)",100
llava,vlm,frog,animal,"(1, 1)",100
llava,vlm,amphibian,vertebrate,"(2, 2)",100
llava,vlm,amphibian,animal,"(2, 2)",100
llava,vlm,beard,hair,"(10, 10)",100
llava,vlm,milk,beverage,"(6, 7)",85.71428571
llava,vlm,tire,hoop,"(45, 60)",75
llava,vlm,tire,band,"(44, 60)",73.33333333
llava,vlm,tire,strip,"(44, 60)",73.33333333
llava,vlm,hoop,band,"(45, 47)",95.74468085
llava,vlm,hoop,strip,"(41, 47)",87.23404255
llava,vlm,broccoli,vegetable,"(10, 10)",100
llava,vlm,broccoli,produce,"(10, 10)",100
llava,vlm,broccoli,food,"(10, 10)",100
llava,vlm,floor,horizontal surface,"(242, 295)",82.03389831
llava,vlm,floor,surface,"(260, 295)",88.13559322
llava,vlm,horizontal surface,surface,"(238, 258)",92.24806202
llava,vlm,cyclist,rider,"(4, 4)",100
llava,vlm,cyclist,traveler,"(4, 4)",100
llava,vlm,cyclist,person,"(4, 4)",100
llava,vlm,rider,traveler,"(4, 4)",100
llava,vlm,rider,person,"(4, 4)",100
llava,vlm,bottle,vessel,"(90, 104)",86.53846154
llava,vlm,bottle,container,"(94, 104)",90.38461538
llava,vlm,lettuce,salad green,"(3, 4)",75
llava,vlm,lettuce,vegetable,"(4, 4)",100
llava,vlm,lettuce,produce,"(2, 4)",50
llava,vlm,lettuce,food,"(4, 4)",100
llava,vlm,salad green,vegetable,"(3, 3)",100
llava,vlm,salad green,produce,"(1, 3)",33.33333333
llava,vlm,salad green,food,"(3, 3)",100
llava,vlm,can,container,"(38, 40)",95
llava,vlm,batter,athlete,"(3, 3)",100
llava,vlm,batter,person,"(3, 3)",100
llava,vlm,wristband,band,"(3, 7)",42.85714286
llava,vlm,wristband,strip,"(6, 7)",85.71428571
llava,vlm,newspaper,paper,"(6, 6)",100
llava,vlm,biker,traveler,"(1, 2)",50
llava,vlm,biker,person,"(1, 2)",50
llava,vlm,package,container,"(3, 3)",100
llava,vlm,keyboard,electronic device,"(21, 22)",95.45454545
llava,vlm,keyboard,device,"(21, 22)",95.45454545
llava,vlm,luggage,case,"(5, 5)",100
llava,vlm,luggage,container,"(5, 5)",100
llava,vlm,jersey,shirt,"(12, 13)",92.30769231
llava,vlm,jersey,garment,"(12, 13)",92.30769231
llava,vlm,jersey,clothing,"(12, 13)",92.30769231
llava,vlm,candle,source of illumination,"(44, 56)",78.57142857
llava,vlm,basket,container,"(6, 6)",100
llava,vlm,desk,table,"(104, 106)",98.11320755
llava,vlm,desk,furniture,"(102, 106)",96.22641509
llava,vlm,kangaroo,mammal,"(4, 4)",100
llava,vlm,kangaroo,vertebrate,"(3, 4)",75
llava,vlm,kangaroo,animal,"(4, 4)",100
llava,vlm,airplane,aircraft,"(224, 229)",97.81659389
llava,vlm,airplane,vehicle,"(173, 229)",75.54585153
llava,vlm,tablecloth,table linen,"(66, 70)",94.28571429
llava,vlm,tablecloth,linen,"(64, 70)",91.42857143
llava,vlm,tablecloth,covering,"(63, 70)",90
llava,vlm,sea,body of water,"(0, 0)",0
llava,vlm,lady,woman,"(21, 22)",95.45454545
llava,vlm,lady,adult,"(21, 22)",95.45454545
llava,vlm,lady,person,"(21, 22)",95.45454545
llava,vlm,notepad,pad,"(5, 5)",100
llava,vlm,bathtub,vessel,"(7, 7)",100
llava,vlm,bathtub,container,"(7, 7)",100
llava,vlm,snowboarder,person,"(13, 13)",100
llava,vlm,snowboard,board,"(123, 129)",95.34883721
llava,vlm,drum,percussion instrument,"(3, 5)",60
llava,vlm,drum,musical instrument,"(2, 5)",40
llava,vlm,drum,device,"(3, 5)",60
llava,vlm,percussion instrument,musical instrument,"(2, 3)",66.66666667
llava,vlm,percussion instrument,device,"(2, 3)",66.66666667
llava,vlm,orange,citrus fruit,"(8, 10)",80
llava,vlm,orange,fruit,"(8, 10)",80
llava,vlm,orange,food,"(8, 10)",80
llava,vlm,dress,woman's clothing,"(8, 11)",72.72727273
llava,vlm,dress,clothing,"(8, 11)",72.72727273
llava,vlm,cart,wagon,"(9, 9)",100
llava,vlm,cart,wheeled vehicle,"(9, 9)",100
llava,vlm,cart,vehicle,"(9, 9)",100
llava,vlm,wagon,wheeled vehicle,"(9, 9)",100
llava,vlm,wagon,vehicle,"(9, 9)",100
llava,vlm,oven,kitchen appliance,"(52, 54)",96.2962963
llava,vlm,oven,home appliance,"(52, 54)",96.2962963
llava,vlm,oven,appliance,"(52, 54)",96.2962963
llava,vlm,pavement,paved surface,"(6, 6)",100
llava,vlm,pavement,horizontal surface,"(6, 6)",100
llava,vlm,pavement,surface,"(6, 6)",100
llava,vlm,paved surface,horizontal surface,"(6, 6)",100
llava,vlm,paved surface,surface,"(6, 6)",100
llava,vlm,antenna,electrical device,"(4, 4)",100
llava,vlm,antenna,device,"(4, 4)",100
llava,vlm,electrical device,device,"(4, 4)",100
llava,vlm,soap,toiletry,"(17, 18)",94.44444444
llava,vlm,tractor,wheeled vehicle,"(13, 14)",92.85714286
llava,vlm,tractor,vehicle,"(13, 14)",92.85714286
llava,vlm,lid,top,"(35, 40)",87.5
llava,vlm,lid,woman's clothing,"(22, 40)",55
llava,vlm,lid,clothing,"(26, 40)",65
llava,vlm,wok,pan,"(4, 4)",100
llava,vlm,wok,kitchen utensil,"(4, 4)",100
llava,vlm,wok,utensil,"(4, 4)",100
llava,vlm,pencil,writing tool,"(3, 3)",100
llava,vlm,comforter,bedding,"(15, 15)",100
llava,vlm,comforter,covering,"(12, 15)",80
llava,vlm,sponge,absorbent material,"(11, 11)",100
llava,vlm,notebook,book,"(20, 22)",90.90909091
llava,vlm,pen,writing device,"(15, 15)",100
llava,vlm,dumpster,container,"(7, 10)",70
llava,vlm,chandelier,light fixture,"(5, 5)",100
llava,vlm,chandelier,fixture,"(4, 5)",80
llava,vlm,light fixture,fixture,"(4, 5)",80
llava,vlm,helmet,headgear,"(262, 278)",94.24460432
llava,vlm,helmet,covering,"(218, 278)",78.41726619
llava,vlm,sink,plumbing fixture,"(152, 160)",95
llava,vlm,sink,fixture,"(145, 160)",90.625
llava,vlm,fork,cutlery,"(250, 266)",93.98496241
llava,vlm,hose,tube,"(17, 19)",89.47368421
llava,vlm,truck,motor vehicle,"(154, 159)",96.85534591
llava,vlm,truck,wheeled vehicle,"(150, 159)",94.33962264
llava,vlm,truck,vehicle,"(153, 159)",96.22641509
llava,vlm,ship,water vehicle,"(2, 2)",100
llava,vlm,ship,vehicle,"(2, 2)",100
llava,vlm,soup,food,"(1, 2)",50
llava,vlm,watch,instrument,"(23, 23)",100
llava,vlm,watch,device,"(23, 23)",100
llava,vlm,doll,toy,"(10, 10)",100
llava,vlm,microwave,kitchen appliance,"(58, 63)",92.06349206
llava,vlm,microwave,home appliance,"(58, 63)",92.06349206
llava,vlm,microwave,appliance,"(60, 63)",95.23809524
llava,vlm,donkey,equine,"(2, 2)",100
llava,vlm,donkey,mammal,"(2, 2)",100
llava,vlm,donkey,vertebrate,"(2, 2)",100
llava,vlm,donkey,animal,"(1, 2)",50
llava,vlm,farmer,person,"(1, 1)",100
llava,vlm,bracelet,band,"(14, 14)",100
llava,vlm,bracelet,strip,"(13, 14)",92.85714286
llava,vlm,card,paper,"(2, 2)",100
llava,vlm,skateboard,board,"(324, 337)",96.14243323
llava,vlm,poster,sign,"(8, 9)",88.88888889
llava,vlm,bench,seat,"(414, 431)",96.05568445
llava,vlm,bench,furniture,"(415, 431)",96.28770302
llava,vlm,cupboard,furniture,"(6, 6)",100
llava,vlm,patio,area,"(2, 3)",66.66666667
llava,vlm,crowd,gathering,"(4, 4)",100
llava,vlm,crowd,group,"(4, 4)",100
molmo,vlm,bedspread,bedding,"(6, 6)",100
molmo,vlm,bedspread,covering,"(6, 6)",100
molmo,vlm,bedding,covering,"(106, 115)",92.17391304
molmo,vlm,giraffe,mammal,"(222, 253)",87.74703557
molmo,vlm,giraffe,vertebrate,"(211, 253)",83.39920949
molmo,vlm,giraffe,animal,"(224, 253)",88.53754941
molmo,vlm,mammal,vertebrate,"(3440, 3687)",93.30078655
molmo,vlm,mammal,animal,"(3567, 3687)",96.7453214
molmo,vlm,vertebrate,animal,"(3678, 3829)",96.0564116
molmo,vlm,bunny,rabbit,"(18, 20)",90
molmo,vlm,bunny,mammal,"(18, 20)",90
molmo,vlm,bunny,vertebrate,"(18, 20)",90
molmo,vlm,bunny,animal,"(17, 20)",85
molmo,vlm,rabbit,mammal,"(17, 18)",94.44444444
molmo,vlm,rabbit,vertebrate,"(17, 18)",94.44444444
molmo,vlm,rabbit,animal,"(17, 18)",94.44444444
molmo,vlm,mask,protective covering,"(4, 4)",100
molmo,vlm,mask,covering,"(4, 4)",100
molmo,vlm,protective covering,covering,"(84, 85)",98.82352941
molmo,vlm,dishwasher,home appliance,"(9, 10)",90
molmo,vlm,dishwasher,appliance,"(9, 10)",90
molmo,vlm,home appliance,appliance,"(162, 166)",97.59036145
molmo,vlm,bed,bedroom furniture,"(94, 113)",83.18584071
molmo,vlm,bed,furniture,"(100, 113)",88.49557522
molmo,vlm,bedroom furniture,furniture,"(97, 106)",91.50943396
molmo,vlm,flower,plant,"(48, 55)",87.27272727
molmo,vlm,burner,heating element,"(2, 2)",100
molmo,vlm,station,facility,"(10, 10)",100
molmo,vlm,bread,baked good,"(3, 6)",50
molmo,vlm,bread,food,"(4, 6)",66.66666667
molmo,vlm,baked good,food,"(131, 142)",92.25352113
molmo,vlm,blender,mixer,"(8, 8)",100
molmo,vlm,blender,kitchen utensil,"(6, 8)",75
molmo,vlm,blender,utensil,"(6, 8)",75
molmo,vlm,mixer,kitchen utensil,"(6, 8)",75
molmo,vlm,mixer,utensil,"(6, 8)",75
molmo,vlm,kitchen utensil,utensil,"(52, 54)",96.2962963
molmo,vlm,sculpture,artwork,"(3, 3)",100
molmo,vlm,sculpture,art,"(3, 3)",100
molmo,vlm,artwork,art,"(83, 87)",95.40229885
molmo,vlm,skateboarder,athlete,"(15, 16)",93.75
molmo,vlm,skateboarder,person,"(13, 16)",81.25
molmo,vlm,athlete,person,"(77, 81)",95.0617284
molmo,vlm,cooker,kitchen utensil,"(2, 2)",100
molmo,vlm,cooker,utensil,"(2, 2)",100
molmo,vlm,paddle,bat,"(4, 6)",66.66666667
molmo,vlm,paddle,club,"(3, 6)",50
molmo,vlm,paddle,stick,"(3, 6)",50
molmo,vlm,bat,club,"(110, 139)",79.13669065
molmo,vlm,bat,stick,"(112, 139)",80.57553957
molmo,vlm,club,stick,"(105, 115)",91.30434783
molmo,vlm,baseball,game,"(4, 11)",36.36363636
molmo,vlm,ginger,spice,"(1, 2)",50
molmo,vlm,ginger,food,"(2, 2)",100
molmo,vlm,spice,food,"(1, 1)",100
molmo,vlm,lamp,furniture,"(25, 32)",78.125
molmo,vlm,owl,bird of prey,"(4, 4)",100
molmo,vlm,owl,bird,"(3, 4)",75
molmo,vlm,owl,vertebrate,"(4, 4)",100
molmo,vlm,owl,animal,"(4, 4)",100
molmo,vlm,bird of prey,bird,"(16, 17)",94.11764706
molmo,vlm,bird of prey,vertebrate,"(17, 17)",100
molmo,vlm,bird of prey,animal,"(17, 17)",100
molmo,vlm,bird,vertebrate,"(270, 304)",88.81578947
molmo,vlm,bird,animal,"(283, 304)",93.09210526
molmo,vlm,tomato,vegetable,"(0, 0)",0
molmo,vlm,tomato,produce,"(0, 0)",0
molmo,vlm,tomato,food,"(0, 0)",0
molmo,vlm,vegetable,produce,"(82, 87)",94.25287356
molmo,vlm,vegetable,food,"(77, 87)",88.50574713
molmo,vlm,produce,food,"(78, 83)",93.97590361
molmo,vlm,cage,enclosure,"(0, 1)",0
molmo,vlm,bear,mammal,"(219, 250)",87.6
molmo,vlm,bear,vertebrate,"(203, 250)",81.2
molmo,vlm,bear,animal,"(224, 250)",89.6
molmo,vlm,clock,instrument,"(272, 357)",76.19047619
molmo,vlm,clock,device,"(279, 357)",78.1512605
molmo,vlm,instrument,device,"(292, 325)",89.84615385
molmo,vlm,suitcase,baggage,"(31, 31)",100
molmo,vlm,suitcase,case,"(31, 31)",100
molmo,vlm,suitcase,container,"(30, 31)",96.77419355
molmo,vlm,baggage,case,"(31, 31)",100
molmo,vlm,baggage,container,"(30, 31)",96.77419355
molmo,vlm,case,container,"(34, 37)",91.89189189
molmo,vlm,blanket,bedding,"(96, 104)",92.30769231
molmo,vlm,blanket,covering,"(92, 104)",88.46153846
molmo,vlm,glaze,topping,"(0, 0)",0
molmo,vlm,glaze,garnish,"(0, 0)",0
molmo,vlm,topping,garnish,"(1, 1)",100
molmo,vlm,dish,container,"(12, 13)",92.30769231
molmo,vlm,bus,motor vehicle,"(151, 168)",89.88095238
molmo,vlm,bus,wheeled vehicle,"(153, 168)",91.07142857
molmo,vlm,bus,vehicle,"(151, 168)",89.88095238
molmo,vlm,motor vehicle,wheeled vehicle,"(633, 675)",93.77777778
molmo,vlm,motor vehicle,vehicle,"(655, 675)",97.03703704
molmo,vlm,wheeled vehicle,vehicle,"(687, 709)",96.89703808
molmo,vlm,roadway,road,"(2, 2)",100
molmo,vlm,building,structure,"(84, 94)",89.36170213
molmo,vlm,wall,partition,"(187, 210)",89.04761905
molmo,vlm,wall,structure,"(188, 210)",89.52380952
molmo,vlm,partition,structure,"(185, 192)",96.35416667
molmo,vlm,robe,garment,"(2, 2)",100
molmo,vlm,robe,clothing,"(0, 2)",0
molmo,vlm,garment,clothing,"(767, 794)",96.59949622
molmo,vlm,laptop,personal computer,"(150, 159)",94.33962264
molmo,vlm,laptop,computer,"(152, 159)",95.59748428
molmo,vlm,laptop,electronic device,"(133, 159)",83.64779874
molmo,vlm,laptop,device,"(129, 159)",81.13207547
molmo,vlm,personal computer,computer,"(149, 158)",94.30379747
molmo,vlm,personal computer,electronic device,"(131, 158)",82.91139241
molmo,vlm,personal computer,device,"(128, 158)",81.01265823
molmo,vlm,computer,electronic device,"(130, 156)",83.33333333
molmo,vlm,computer,device,"(127, 156)",81.41025641
molmo,vlm,electronic device,device,"(330, 347)",95.10086455
molmo,vlm,pond,lake,"(3, 3)",100
molmo,vlm,pond,body of water,"(3, 3)",100
molmo,vlm,lake,body of water,"(32, 32)",100
molmo,vlm,bug,insect,"(1, 1)",100
molmo,vlm,bug,invertebrate,"(1, 1)",100
molmo,vlm,bug,animal,"(1, 1)",100
molmo,vlm,insect,invertebrate,"(1, 1)",100
molmo,vlm,insect,animal,"(1, 1)",100
molmo,vlm,invertebrate,animal,"(1, 1)",100
molmo,vlm,carrot,root vegetable,"(61, 65)",93.84615385
molmo,vlm,carrot,vegetable,"(60, 65)",92.30769231
molmo,vlm,carrot,produce,"(60, 65)",92.30769231
molmo,vlm,carrot,food,"(61, 65)",93.84615385
molmo,vlm,root vegetable,vegetable,"(66, 68)",97.05882353
molmo,vlm,root vegetable,produce,"(64, 68)",94.11764706
molmo,vlm,root vegetable,food,"(62, 68)",91.17647059
molmo,vlm,bathroom,room,"(3, 3)",100
molmo,vlm,bathroom,area,"(3, 3)",100
molmo,vlm,room,area,"(112, 129)",86.82170543
molmo,vlm,blind,protective covering,"(71, 100)",71
molmo,vlm,blind,covering,"(76, 100)",76
molmo,vlm,skier,athlete,"(11, 11)",100
molmo,vlm,skier,person,"(11, 11)",100
molmo,vlm,necklace,jewelry,"(11, 11)",100
molmo,vlm,necklace,ornament,"(9, 11)",81.81818182
molmo,vlm,necklace,decoration,"(9, 11)",81.81818182
molmo,vlm,jewelry,ornament,"(28, 34)",82.35294118
molmo,vlm,jewelry,decoration,"(24, 34)",70.58823529
molmo,vlm,ornament,decoration,"(26, 30)",86.66666667
molmo,vlm,refrigerator,home appliance,"(40, 54)",74.07407407
molmo,vlm,refrigerator,appliance,"(40, 54)",74.07407407
molmo,vlm,sweater,garment,"(14, 16)",87.5
molmo,vlm,sweater,clothing,"(14, 16)",87.5
molmo,vlm,motorcycle,motor vehicle,"(65, 78)",83.33333333
molmo,vlm,motorcycle,wheeled vehicle,"(67, 78)",85.8974359
molmo,vlm,motorcycle,vehicle,"(66, 78)",84.61538462
molmo,vlm,van,motor vehicle,"(9, 9)",100
molmo,vlm,van,wheeled vehicle,"(9, 9)",100
molmo,vlm,van,vehicle,"(9, 9)",100
molmo,vlm,sweatshirt,sweater,"(8, 8)",100
molmo,vlm,sweatshirt,garment,"(7, 8)",87.5
