idx,category,hypernym,negative_sample,hypernym_sentence,negative_sentence
543,boot,covering,athlete,boots are a type of covering,boots are a type of athlete
544,boot,covering,vegetable,boots are a type of covering,boots are a type of vegetable
545,chair,seat,coat,chairs are a type of seat,chairs are a type of coat
546,chair,seat,kitchen appliance,chairs are a type of seat,chairs are a type of kitchen appliance
547,chair,seat,salad green,chairs are a type of seat,chairs are a type of salad green
548,chair,seat,tool,chairs are a type of seat,chairs are a type of tool
549,chair,furniture,writing tool,chairs are a type of furniture,chairs are a type of writing tool
550,chair,furniture,amphibian,chairs are a type of furniture,chairs are a type of amphibian
551,chair,furniture,rider,chairs are a type of furniture,chairs are a type of rider
552,chair,furniture,kitchen appliance,chairs are a type of furniture,chairs are a type of kitchen appliance
553,goat,mammal,cutlery,goats are a type of mammal,goats are a type of cutlery
554,goat,mammal,entrance,goats are a type of mammal,goats are a type of entrance
555,goat,mammal,bird,goats are a type of mammal,goats are a type of bird
556,goat,mammal,liquid,goats are a type of mammal,goats are a type of liquid
557,goat,vertebrate,receptacle,goats are a type of vertebrate,goats are a type of receptacle
558,goat,vertebrate,electrical device,goats are a type of vertebrate,goats are a type of electrical device
559,goat,vertebrate,ball,goats are a type of vertebrate,goats are a type of ball
560,goat,vertebrate,equipment,goats are a type of vertebrate,goats are a type of equipment
561,goat,animal,passageway,goats are a type of animal,goats are a type of passageway
562,goat,animal,tabletop,goats are a type of animal,goats are a type of tabletop
563,goat,animal,meat,goats are a type of animal,goats are a type of meat
564,goat,animal,walk,goats are a type of animal,goats are a type of walk
565,tissue,paper,artwork,tissues are a type of paper,tissues are a type of artwork
566,tissue,paper,man,tissues are a type of paper,tissues are a type of man
567,tissue,paper,hand tool,tissues are a type of paper,tissues are a type of hand tool
568,tissue,paper,jar,tissues are a type of paper,tissues are a type of jar
569,pineapple,fruit,corridor,pineapples are a type of fruit,pineapples are a type of corridor
570,pineapple,fruit,tableware,pineapples are a type of fruit,pineapples are a type of tableware
571,pineapple,fruit,piece of cloth,pineapples are a type of fruit,pineapples are a type of piece of cloth
572,pineapple,fruit,entrance,pineapples are a type of fruit,pineapples are a type of entrance
573,pineapple,food,shelf,pineapples are a type of food,pineapples are a type of shelf
574,pineapple,food,topping,pineapples are a type of food,pineapples are a type of topping
575,pineapple,food,access,pineapples are a type of food,pineapples are a type of access
576,pineapple,food,water vehicle,pineapples are a type of food,pineapples are a type of water vehicle
577,burger,sandwich,musical instrument,burgers are a type of sandwich,burgers are a type of musical instrument
578,burger,sandwich,room,burgers are a type of sandwich,burgers are a type of room
579,burger,sandwich,car,burgers are a type of sandwich,burgers are a type of car
580,burger,sandwich,protective garment,burgers are a type of sandwich,burgers are a type of protective garment
581,burger,food,fruit,burgers are a type of food,burgers are a type of fruit
582,burger,food,feed,burgers are a type of food,burgers are a type of feed
583,burger,food,woody plant,burgers are a type of food,burgers are a type of woody plant
584,burger,food,path,burgers are a type of food,burgers are a type of path
585,bell,acoustic device,weapon,bells are a type of acoustic device,bells are a type of weapon
586,bell,acoustic device,beverage,bells are a type of acoustic device,bells are a type of beverage
587,bell,acoustic device,entrance,bells are a type of acoustic device,bells are a type of entrance
588,bell,acoustic device,writing tool,bells are a type of acoustic device,bells are a type of writing tool
589,bell,device,measuring instrument,bells are a type of device,bells are a type of measuring instrument
590,bell,device,rock,bells are a type of device,bells are a type of rock
591,bell,device,produce,bells are a type of device,bells are a type of produce
592,bell,device,writing tool,bells are a type of device,bells are a type of writing tool
593,seat,furniture,footwear,a seat is a type of furniture,a seat is a type of footwear
594,seat,furniture,rider,a seat is a type of furniture,a seat is a type of rider
595,seat,furniture,amphibian,a seat is a type of furniture,a seat is a type of amphibian
596,seat,furniture,tableware,a seat is a type of furniture,a seat is a type of tableware
597,carriage,wheeled vehicle,paper,carriages are a type of wheeled vehicle,carriages are a type of paper
598,carriage,wheeled vehicle,weapon,carriages are a type of wheeled vehicle,carriages are a type of weapon
599,carriage,wheeled vehicle,ball,carriages are a type of wheeled vehicle,carriages are a type of ball
600,carriage,wheeled vehicle,wine,carriages are a type of wheeled vehicle,carriages are a type of wine
601,carriage,vehicle,cleaning tool,carriages are a type of vehicle,carriages are a type of cleaning tool
602,carriage,vehicle,liquid,carriages are a type of vehicle,carriages are a type of liquid
603,carriage,vehicle,bird,carriages are a type of vehicle,carriages are a type of bird
604,carriage,vehicle,woman's clothing,carriages are a type of vehicle,carriages are a type of women's clothing
605,camera,photographic equipment,spice,cameras are a type of photographic equipment,cameras are a type of spice
606,camera,photographic equipment,electrical device,cameras are a type of photographic equipment,cameras are a type of electrical device
607,camera,photographic equipment,bat,cameras are a type of photographic equipment,cameras are a type of bat
608,camera,photographic equipment,feline,cameras are a type of photographic equipment,cameras are a type of feline
609,camera,device,artwork,cameras are a type of device,cameras are a type of artwork
610,camera,device,band,cameras are a type of device,cameras are a type of band
611,camera,device,room,cameras are a type of device,cameras are a type of room
612,camera,device,aquatic bird,cameras are a type of device,cameras are a type of aquatic bird
613,cathedral,church,adult,a cathredral is a type of church,a cathredral is a type of adult
614,cathedral,church,vertebrate,a cathredral is a type of church,a cathredral is a type of vertebrate
615,cathedral,church,entrance,a cathredral is a type of church,a cathredral is a type of entrance
616,cathedral,church,sweater,a cathredral is a type of church,a cathredral is a type of sweater
617,cathedral,building,tube,a cathredral is a type of building,a cathredral is a type of tube
618,cathedral,building,equine,a cathredral is a type of building,a cathredral is a type of equine
619,cathedral,building,beverage,a cathredral is a type of building,a cathredral is a type of beverage
620,cathedral,building,feed,a cathredral is a type of building,a cathredral is a type of feed
621,cathedral,structure,work surface,a cathredral is a type of structure,a cathredral is a type of work surface
622,cathedral,structure,animal food,a cathredral is a type of structure,a cathredral is a type of animal food
623,cathedral,structure,toy,a cathredral is a type of structure,a cathredral is a type of toy
624,cathedral,structure,ball,a cathredral is a type of structure,a cathredral is a type of ball
625,beer,alcohol,boat,beer is a type of alcohol,beer is a type of boat
626,beer,alcohol,surface,beer is a type of alcohol,beer is a type of surface
627,beer,alcohol,salad green,beer is a type of alcohol,beer is a type of salad green
628,beer,alcohol,hair,beer is a type of alcohol,beer is a type of hair
629,beer,beverage,top,beer is a type of beverage,beer is a type of top
630,beer,beverage,topping,beer is a type of beverage,beer is a type of topping
631,beer,beverage,establishment,beer is a type of beverage,beer is a type of establishment
632,beer,beverage,small boat,beer is a type of beverage,beer is a type of small boat
633,sofa,seat,way,sofas are a type of seat,sofas are a type of way
634,sofa,seat,condiment,sofas are a type of seat,sofas are a type of condiment
635,sofa,seat,sign,sofas are a type of seat,sofas are a type of sign
636,sofa,seat,band,sofas are a type of seat,sofas are a type of band
637,sofa,furniture,sandwich,sofas are a type of furniture,sofas are a type of sandwich
638,sofa,furniture,bat,sofas are a type of furniture,sofas are a type of bat
639,sofa,furniture,establishment,sofas are a type of furniture,sofas are a type of establishment
640,sofa,furniture,feed,sofas are a type of furniture,sofas are a type of feed
641,banana,fruit,animal skin,bananas are a type of fruit,bananas are a type of animal skin
642,banana,fruit,waste,bananas are a type of fruit,bananas are a type of waste
643,banana,fruit,electronic device,bananas are a type of fruit,bananas are a type of electronic device
644,banana,fruit,tube,bananas are a type of fruit,bananas are a type of tube
645,banana,food,waste,bananas are a type of food,bananas are a type of waste
646,banana,food,aircraft,bananas are a type of food,bananas are a type of aircraft
647,banana,food,feed,bananas are a type of food,bananas are a type of feed
648,banana,food,footwear,bananas are a type of food,bananas are a type of footwear
649,platter,tableware,measuring instrument,a platter is a type of tableware,a platter is a type of measuring instrument
650,platter,tableware,baseball equipment,a platter is a type of tableware,a platter is a type of baseball equipment
651,platter,tableware,rider,a platter is a type of tableware,a platter is a type of rider
652,platter,tableware,structure,a platter is a type of tableware,a platter is a type of structure
653,pilot,person,personal computer,a pilot is a person,a pilot is personal computers
654,pilot,person,rod,a pilot is a person,a pilot is a rod
655,pilot,person,toiletry,a pilot is a person,a pilot is a toiletry
656,pilot,person,bedroom furniture,a pilot is a person,a pilot is bedroom furniture
657,jet,aircraft,percussion instrument,jets are a type of aircraft,jets are a type of percussion instrument
658,jet,aircraft,condiment,jets are a type of aircraft,jets are a type of condiment
659,jet,aircraft,keyboard instrument,jets are a type of aircraft,jets are a type of keyboard instrument
660,jet,aircraft,cutlery,jets are a type of aircraft,jets are a type of cutlery
661,jet,vehicle,bread,jets are a type of vehicle,jets are a type of bread
662,jet,vehicle,rock,jets are a type of vehicle,jets are a type of rock
663,jet,vehicle,entrance,jets are a type of vehicle,jets are a type of entrance
664,jet,vehicle,light fixture,jets are a type of vehicle,jets are a type of light fixture
665,apron,protective garment,jewelry,aprons are a type of protective garment,aprons are a type of jewelry
666,apron,protective garment,percussion instrument,aprons are a type of protective garment,aprons are a type of percussion instrument
667,apron,protective garment,covering,aprons are a type of protective garment,aprons are a type of covering
668,apron,protective garment,flatware,aprons are a type of protective garment,aprons are a type of flatware
669,apron,clothing,shirt,aprons are a type of clothing,aprons are a type of shirt
670,apron,clothing,sheet metal,aprons are a type of clothing,aprons are a type of sheet metal
671,apron,clothing,sports equipment,aprons are a type of clothing,aprons are a type of sports equipment
672,apron,clothing,cleaning tool,aprons are a type of clothing,aprons are a type of cleaning tool
673,skirt,clothing,baseball equipment,skirts are a type of clothing,skirts are a type of baseball equipment
674,skirt,clothing,percussion instrument,skirts are a type of clothing,skirts are a type of percussion instrument
675,skirt,clothing,cattle,skirts are a type of clothing,skirts are a type of cattle
676,skirt,clothing,bedding,skirts are a type of clothing,skirts are a type of bedding
677,water,liquid,instrument,water is a type of liquid,water is a type of instrument
678,water,liquid,lake,water is a type of liquid,water is a type of lake
679,water,liquid,clothing,water is a type of liquid,water is a type of clothing
680,water,liquid,woman,water is a type of liquid,water is a type of woman
681,water,fluid,garment,water is a type of fluid,water is a type of garment
682,water,fluid,vertebrate,water is a type of fluid,water is a type of vertebrate
683,water,fluid,plant,water is a type of fluid,water is a type of plant
684,water,fluid,rod,water is a type of fluid,water is a type of rod
685,stadium,building,cat,stadiums are a type of building,stadiums are a type of cat
686,stadium,building,mixer,stadiums are a type of building,stadiums are a type of mixer
687,stadium,building,facility,stadiums are a type of building,stadiums are a type of facility
688,stadium,building,group,stadiums are a type of building,stadiums are a type of group
689,stadium,structure,sheet metal,stadiums are a type of structure,stadiums are a type of sheet metal
690,stadium,structure,woman,stadiums are a type of structure,stadiums are a type of woman
691,stadium,structure,tool,stadiums are a type of structure,stadiums are a type of tool
692,stadium,structure,rabbit,stadiums are a type of structure,stadiums are a type of rabbit
693,ornament,decoration,liquid,ornaments are a type of decoration,ornaments are a type of liquid
694,ornament,decoration,receptacle,ornaments are a type of decoration,ornaments are a type of receptacle
695,ornament,decoration,boat,ornaments are a type of decoration,ornaments are a type of boat
696,ornament,decoration,garment,ornaments are a type of decoration,ornaments are a type of garment
697,cockpit,room,acoustic device,a cockpit is a type of room,a cockpit is a type of acoustic device
698,cockpit,room,garment,a cockpit is a type of room,a cockpit is a type of garment
699,cockpit,room,decoration,a cockpit is a type of room,a cockpit is a type of decoration
700,cockpit,room,coat,a cockpit is a type of room,a cockpit is a type of coat
701,cockpit,area,electrical device,a cockpit is a type of area,a cockpit is a type of electrical device
702,cockpit,area,art,a cockpit is a type of area,a cockpit is a type of art
703,cockpit,area,work surface,a cockpit is a type of area,a cockpit is a type of work surface
704,cockpit,area,canine,a cockpit is a type of area,a cockpit is a type of canine
705,bush,woody plant,stringed instrument,bushes are a type of woody plant,bushes are a type of stringed instrument
706,bush,woody plant,table linen,bushes are a type of woody plant,bushes are a type of table linen
707,bush,woody plant,condiment,bushes are a type of woody plant,bushes are a type of condiment
708,bush,woody plant,aquatic bird,bushes are a type of woody plant,bushes are a type of aquatic bird
709,bush,plant,kitchen appliance,bushes are a type of plant,bushes are a type of kitchen appliance
710,bush,plant,cat,bushes are a type of plant,bushes are a type of cat
711,bush,plant,fodder,bushes are a type of plant,bushes are a type of fodder
712,bush,plant,path,bushes are a type of plant,bushes are a type of path
713,pot,vessel,measuring instrument,pots are a type of vessel,pots are a type of measuring instrument
714,pot,vessel,cattle,pots are a type of vessel,pots are a type of cattle
715,pot,vessel,electronic device,pots are a type of vessel,pots are a type of electronic device
716,pot,vessel,seat,pots are a type of vessel,pots are a type of seat
717,pot,container,rock,pots are a type of container,pots are a type of rock
718,pot,container,tabletop,pots are a type of container,pots are a type of tabletop
719,pot,container,ball,pots are a type of container,pots are a type of ball
720,pot,container,corridor,pots are a type of container,pots are a type of corridor
721,bedroom,room,home appliance,bedrooms are a type of room,bedrooms are a type of home appliance
722,bedroom,room,rod,bedrooms are a type of room,bedrooms are a type of rod
723,bedroom,room,invertebrate,bedrooms are a type of room,bedrooms are a type of invertebrate
724,bedroom,room,building,bedrooms are a type of room,bedrooms are a type of building
725,bedroom,area,musical instrument,bedrooms are a type of area,bedrooms are a type of musical instrument
726,bedroom,area,tabletop,bedrooms are a type of area,bedrooms are a type of tabletop
727,bedroom,area,woman,bedrooms are a type of area,bedrooms are a type of woman
728,bedroom,area,beverage,bedrooms are a type of area,bedrooms are a type of beverage
729,kitchen,room,gathering,a kitchen is a type of room,a kitchen is a type of gathering
730,kitchen,room,grassland,a kitchen is a type of room,a kitchen is a type of grassland
731,kitchen,room,furniture,a kitchen is a type of room,a kitchen is a type of furniture
732,kitchen,room,shirt,a kitchen is a type of room,a kitchen is a type of shirt
733,kitchen,area,equine,a kitchen is a type of area,a kitchen is a type of equine
734,kitchen,area,mammal,a kitchen is a type of area,a kitchen is a type of mammal
735,kitchen,area,sports equipment,a kitchen is a type of area,a kitchen is a type of sports equipment
736,kitchen,area,electronic device,a kitchen is a type of area,a kitchen is a type of electronic device
737,cereal,breakfast food,home appliance,cereals are a type of breakfast food,cereals are a type of home appliance
738,cereal,breakfast food,fruit,cereals are a type of breakfast food,cereals are a type of fruit
739,cereal,breakfast food,sheet,cereals are a type of breakfast food,cereals are a type of sheet
740,cereal,breakfast food,wheeled vehicle,cereals are a type of breakfast food,cereals are a type of wheeled vehicle
741,cereal,food,people,cereals are a type of food,cereals are a type of people
742,cereal,food,waste,cereals are a type of food,cereals are a type of waste
743,cereal,food,animal skin,cereals are a type of food,cereals are a type of animal skin
744,cereal,food,root vegetable,cereals are a type of food,cereals are a type of root vegetable
745,cabinet,furniture,percussion instrument,cabinets are a type of furniture,cabinets are a type of percussion instrument
746,cabinet,furniture,stringed instrument,cabinets are a type of furniture,cabinets are a type of stringed instrument
747,cabinet,furniture,electronic device,cabinets are a type of furniture,cabinets are a type of electronic device
748,cabinet,furniture,neckwear,cabinets are a type of furniture,cabinets are a type of neckwear
749,store,establishment,writing tool,stores are a type of establishment,stores are a type of writing tool
750,store,establishment,garment,stores are a type of establishment,stores are a type of garment
751,store,establishment,table linen,stores are a type of establishment,stores are a type of table linen
752,store,establishment,surface,stores are a type of establishment,stores are a type of surface
753,radio,electronic device,room,radios are a type of electronic device,radios are a type of room
754,radio,electronic device,establishment,radios are a type of electronic device,radios are a type of establishment
755,radio,electronic device,passage,radios are a type of electronic device,radios are a type of passage
756,radio,electronic device,absorbent material,radios are a type of electronic device,radios are a type of absorbent material
757,radio,device,sheet metal,radios are a type of device,radios are a type of sheet metal
758,radio,device,grassland,radios are a type of device,radios are a type of grassland
759,radio,device,waste,radios are a type of device,radios are a type of waste
760,radio,device,absorbent material,radios are a type of device,radios are a type of absorbent material
761,stove,kitchen appliance,artwork,stoves are a type of kitchen appliance,stoves are a type of artwork
762,stove,kitchen appliance,beverage,stoves are a type of kitchen appliance,stoves are a type of beverage
763,stove,kitchen appliance,decoration,stoves are a type of kitchen appliance,stoves are a type of decoration
764,stove,kitchen appliance,cat,stoves are a type of kitchen appliance,stoves are a type of cat
765,stove,home appliance,facility,stoves are a type of home appliance,stoves are a type of facility
766,stove,home appliance,rabbit,stoves are a type of home appliance,stoves are a type of rabbit
767,stove,home appliance,partition,stoves are a type of home appliance,stoves are a type of partition
768,stove,home appliance,area,stoves are a type of home appliance,stoves are a type of area
769,stove,appliance,athlete,stoves are a type of appliance,stoves are a type of athlete
770,stove,appliance,bread,stoves are a type of appliance,stoves are a type of bread
771,stove,appliance,tabletop,stoves are a type of appliance,stoves are a type of tabletop
772,stove,appliance,motor vehicle,stoves are a type of appliance,stoves are a type of motor vehicle
773,bird,vertebrate,receptacle,birds are a type of vertebrate,birds are a type of receptacle
774,bird,vertebrate,equine,birds are a type of vertebrate,birds are a type of equine
775,bird,vertebrate,traveler,birds are a type of vertebrate,birds are a type of traveler
776,bird,vertebrate,covering,birds are a type of vertebrate,birds are a type of covering
777,bird,animal,appliance,birds are a type of animal,birds are a type of appliance
778,bird,animal,canine,birds are a type of animal,birds are a type of canine
779,bird,animal,blind,birds are a type of animal,birds are a type of blinds
780,bird,animal,toiletry,birds are a type of animal,birds are a type of toiletry
781,table,furniture,footwear,tables are a type of furniture,tables are a type of footwear
782,table,furniture,pan,tables are a type of furniture,tables are a type of pan
783,table,furniture,stringed instrument,tables are a type of furniture,tables are a type of stringed instrument
784,table,furniture,stick,tables are a type of furniture,tables are a type of stick
785,bull,cattle,condiment,bulls are a type of cattle,bulls are a type of condiment
786,bull,cattle,rabbit,bulls are a type of cattle,bulls are a type of rabbit
787,bull,cattle,root vegetable,bulls are a type of cattle,bulls are a type of root vegetable
788,bull,cattle,canine,bulls are a type of cattle,bulls are a type of canine
789,bull,mammal,bird of prey,bulls are a type of mammal,bulls are a type of bird of prey
790,bull,mammal,headgear,bulls are a type of mammal,bulls are a type of headgear
791,bull,mammal,toy,bulls are a type of mammal,bulls are a type of toy
792,bull,mammal,passageway,bulls are a type of mammal,bulls are a type of passageway
793,bull,vertebrate,barrier,bulls are a type of vertebrate,bulls are a type of barrier
794,bull,vertebrate,root vegetable,bulls are a type of vertebrate,bulls are a type of root vegetable
795,bull,vertebrate,establishment,bulls are a type of vertebrate,bulls are a type of establishment
796,bull,vertebrate,cleaning tool,bulls are a type of vertebrate,bulls are a type of cleaning tool
797,bull,animal,ornament,bulls are a type of animal,bulls are a type of ornament
798,bull,animal,equine,bulls are a type of animal,bulls are a type of equine
799,bull,animal,blind,bulls are a type of animal,bulls are a type of blinds
800,bull,animal,source of illumination,bulls are a type of animal,bulls are a type of source of illumination
801,thermometer,measuring instrument,bat,thermometers are a type of measuring instrument,thermometers are a type of bat
802,thermometer,measuring instrument,strip,thermometers are a type of measuring instrument,thermometers are a type of strip
803,thermometer,measuring instrument,passage,thermometers are a type of measuring instrument,thermometers are a type of passage
804,thermometer,measuring instrument,stick,thermometers are a type of measuring instrument,thermometers are a type of stick
805,thermometer,instrument,equine,thermometers are a type of instrument,thermometers are a type of equine
806,thermometer,instrument,root vegetable,thermometers are a type of instrument,thermometers are a type of root vegetable
807,thermometer,instrument,aircraft,thermometers are a type of instrument,thermometers are a type of aircraft
808,thermometer,instrument,baked good,thermometers are a type of instrument,thermometers are a type of baked good
809,thermometer,device,tabletop,thermometers are a type of device,thermometers are a type of tabletop
810,thermometer,device,motor vehicle,thermometers are a type of device,thermometers are a type of motor vehicle
811,thermometer,device,linen,thermometers are a type of device,thermometers are a type of linen
812,thermometer,device,woman's clothing,thermometers are a type of device,thermometers are a type of women's clothing
813,pole,rod,mammal,a pole is a type of rod,a pole is a type of mammal
814,pole,rod,child,a pole is a type of rod,a pole is a type of child
815,pole,rod,earth,a pole is a type of rod,a pole is a type of earth
816,pole,rod,writing tool,a pole is a type of rod,a pole is a type of writing tool
817,pizza,food,table,pizzas are a type of food,pizzas are a type of table
818,pizza,food,electronic device,pizzas are a type of food,pizzas are a type of electronic device
819,pizza,food,rabbit,pizzas are a type of food,pizzas are a type of rabbit
820,pizza,food,alcohol,pizzas are a type of food,pizzas are a type of alcohol
821,doorway,entrance,group,doorways are a type of entrance,doorways are a type of group
822,doorway,entrance,rod,doorways are a type of entrance,doorways are a type of rod
823,doorway,entrance,kitchen utensil,doorways are a type of entrance,doorways are a type of kitchen utensil
824,doorway,entrance,plant,doorways are a type of entrance,doorways are a type of plant
825,doorway,access,heating element,doorways are a type of access,doorways are a type of heating element
826,doorway,access,baked good,doorways are a type of access,doorways are a type of baked good
827,doorway,access,rock,doorways are a type of access,doorways are a type of rock
828,doorway,access,root vegetable,doorways are a type of access,doorways are a type of root vegetable
829,doorway,way,spice,doorways are a type of way,doorways are a type of spice
830,doorway,way,receptacle,doorways are a type of way,doorways are a type of receptacle
831,doorway,way,building,doorways are a type of way,doorways are a type of building
832,doorway,way,tableware,doorways are a type of way,doorways are a type of tableware
833,highway,road,stringed instrument,highways are a type of road,highways are a type of stringed instrument
834,highway,road,shelf,highways are a type of road,highways are a type of shelf
835,highway,road,pan,highways are a type of road,highways are a type of pan
836,highway,road,animal skin,highways are a type of road,highways are a type of animal skin
837,baby,child,baggage,a baby is a child,a baby is a baggage
838,baby,child,sheet metal,a baby is a child,a baby is sheet metal
839,baby,child,sports equipment,a baby is a child,a baby is sports equipment
840,baby,child,acoustic device,a baby is a child,a baby is an acoustic device
841,baby,person,woody plant,a baby is a person,a baby is a woody plant
842,baby,person,area,a baby is a person,a baby is an area
843,baby,person,brush,a baby is a person,a baby is a brush
844,baby,person,shelf,a baby is a person,a baby is a shelf
845,scarf,garment,utensil,scarves are a type of garment,scarves are a type of utensil
846,scarf,garment,access,scarves are a type of garment,scarves are a type of access
847,scarf,garment,container,scarves are a type of garment,scarves are a type of container
848,scarf,garment,athlete,scarves are a type of garment,scarves are a type of athlete
849,scarf,clothing,blind,scarves are a type of clothing,scarves are a type of blinds
850,scarf,clothing,cutlery,scarves are a type of clothing,scarves are a type of cutlery
851,scarf,clothing,feline,scarves are a type of clothing,scarves are a type of feline
852,scarf,clothing,motor vehicle,scarves are a type of clothing,scarves are a type of motor vehicle
853,broom,cleaning tool,acoustic device,brooms are a type of cleaning tool,brooms are a type of acoustic device
854,broom,cleaning tool,aircraft,brooms are a type of cleaning tool,brooms are a type of aircraft
855,broom,cleaning tool,path,brooms are a type of cleaning tool,brooms are a type of path
856,broom,cleaning tool,coat,brooms are a type of cleaning tool,brooms are a type of coat
857,fruit,food,way,fruits are a type of food,fruits are a type of way
858,fruit,food,walk,fruits are a type of food,fruits are a type of walk
859,fruit,food,seat,fruits are a type of food,fruits are a type of seat
860,fruit,food,room,fruits are a type of food,fruits are a type of room
861,taxi,car,amphibian,taxis are a type of car,taxis are a type of amphibian
862,taxi,car,bag,taxis are a type of car,taxis are a type of bag
863,taxi,car,art,taxis are a type of car,taxis are a type of art
864,taxi,car,aircraft,taxis are a type of car,taxis are a type of aircraft
865,taxi,motor vehicle,stringed instrument,taxis are a type of motor vehicle,taxis are a type of stringed instrument
866,taxi,motor vehicle,ball,taxis are a type of motor vehicle,taxis are a type of ball
867,taxi,motor vehicle,corridor,taxis are a type of motor vehicle,taxis are a type of corridor
868,taxi,motor vehicle,neckwear,taxis are a type of motor vehicle,taxis are a type of neckwear
869,taxi,wheeled vehicle,pot,taxis are a type of wheeled vehicle,taxis are a type of pot
870,taxi,wheeled vehicle,personal computer,taxis are a type of wheeled vehicle,taxis are a type of personal computer
871,taxi,wheeled vehicle,access,taxis are a type of wheeled vehicle,taxis are a type of access
872,taxi,wheeled vehicle,athlete,taxis are a type of wheeled vehicle,taxis are a type of athlete
873,taxi,vehicle,personal computer,taxis are a type of vehicle,taxis are a type of personal computer
874,taxi,vehicle,shirt,taxis are a type of vehicle,taxis are a type of shirt
875,taxi,vehicle,acoustic device,taxis are a type of vehicle,taxis are a type of acoustic device
876,taxi,vehicle,athlete,taxis are a type of vehicle,taxis are a type of athlete
877,fence,barrier,ornament,fences are a type of barrier,fences are a type of ornament
878,fence,barrier,spice,fences are a type of barrier,fences are a type of spice
879,fence,barrier,man,fences are a type of barrier,fences are a type of man
880,fence,barrier,small boat,fences are a type of barrier,fences are a type of small boat
881,fence,structure,tool,fences are a type of structure,fences are a type of tool
882,fence,structure,blind,fences are a type of structure,fences are a type of blinds
883,fence,structure,sports equipment,fences are a type of structure,fences are a type of sports equipment
884,fence,structure,mixer,fences are a type of structure,fences are a type of mixer
885,guitar,stringed instrument,linen,guitars are a type of stringed instrument,guitars are a type of linen
886,guitar,stringed instrument,body of water,guitars are a type of stringed instrument,guitars are a type of body of water
887,guitar,stringed instrument,book,guitars are a type of stringed instrument,guitars are a type of book
888,guitar,stringed instrument,footwear,guitars are a type of stringed instrument,guitars are a type of footwear
889,guitar,musical instrument,cleaning tool,guitars are a type of musical instrument,guitars are a type of cleaning tool
890,guitar,musical instrument,headgear,guitars are a type of musical instrument,guitars are a type of headgear
891,guitar,musical instrument,animal skin,guitars are a type of musical instrument,guitars are a type of animal skin
892,guitar,musical instrument,ball,guitars are a type of musical instrument,guitars are a type of ball
893,guitar,device,wheeled vehicle,guitars are a type of device,guitars are a type of wheeled vehicle
894,guitar,device,water vehicle,guitars are a type of device,guitars are a type of water vehicle
895,guitar,device,bag,guitars are a type of device,guitars are a type of bag
896,guitar,device,church,guitars are a type of device,guitars are a type of church
897,saucer,flatware,photographic equipment,a saucer is a type of flatware,a saucer is a type of photographic equipment
898,saucer,flatware,source of illumination,a saucer is a type of flatware,a saucer is a type of source of illumination
899,saucer,flatware,pot,a saucer is a type of flatware,a saucer is a type of pot
900,saucer,flatware,woody plant,a saucer is a type of flatware,a saucer is a type of woody plant
901,saucer,tableware,bird of prey,a saucer is a type of tableware,a saucer is a type of bird of prey
902,saucer,tableware,electronic device,a saucer is a type of tableware,a saucer is a type of electronic device
903,saucer,tableware,paved surface,a saucer is a type of tableware,a saucer is a type of paved surface
904,saucer,tableware,artwork,a saucer is a type of tableware,a saucer is a type of artwork
905,pipe,tube,instrument,pipes are a type of tube,pipes are a type of instrument
906,pipe,tube,enclosure,pipes are a type of tube,pipes are a type of enclosure
907,pipe,tube,protective garment,pipes are a type of tube,pipes are a type of protective garment
908,pipe,tube,produce,pipes are a type of tube,pipes are a type of produce
909,cap,headgear,animal food,caps are a type of headgear,caps are a type of animal food
910,cap,headgear,area,caps are a type of headgear,caps are a type of area
911,cap,headgear,amphibian,caps are a type of headgear,caps are a type of amphibian
912,cap,headgear,linen,caps are a type of headgear,caps are a type of linen
913,cap,covering,motor vehicle,caps are a type of covering,caps are a type of motor vehicle
914,cap,covering,food,caps are a type of covering,caps are a type of food
915,cap,covering,piece of cloth,caps are a type of covering,caps are a type of piece of cloth
916,cap,covering,cutlery,caps are a type of covering,caps are a type of cutlery
917,locomotive,wheeled vehicle,official,locomotives are a type of wheeled vehicle,locomotives are a type of official
918,locomotive,wheeled vehicle,electrical device,locomotives are a type of wheeled vehicle,locomotives are a type of electrical device
919,locomotive,wheeled vehicle,aquatic bird,locomotives are a type of wheeled vehicle,locomotives are a type of aquatic bird
920,locomotive,wheeled vehicle,bedroom furniture,locomotives are a type of wheeled vehicle,locomotives are a type of bedroom furniture
921,locomotive,vehicle,equine,locomotives are a type of vehicle,locomotives are a type of equine
922,locomotive,vehicle,earth,locomotives are a type of vehicle,locomotives are a type of earth
923,locomotive,vehicle,tabletop,locomotives are a type of vehicle,locomotives are a type of tabletop
924,locomotive,vehicle,ornament,locomotives are a type of vehicle,locomotives are a type of ornament
925,crown,headgear,sign,crowns are a type of headgear,crowns are a type of sign
926,crown,headgear,fruit,crowns are a type of headgear,crowns are a type of fruit
927,crown,headgear,keyboard instrument,crowns are a type of headgear,crowns are a type of keyboard instrument
928,crown,headgear,rider,crowns are a type of headgear,crowns are a type of rider
929,crown,covering,plant,crowns are a type of covering,crowns are a type of plant
930,crown,covering,club,crowns are a type of covering,crowns are a type of club
931,crown,covering,bird,crowns are a type of covering,crowns are a type of bird
932,crown,covering,breakfast food,crowns are a type of covering,crowns are a type of breakfast food
933,airport,facility,dairy product,airports are a type of facility,airports are a type of dairy product
