premise,conclusion,hypernymy,similarity_raw,similarity_binary,premise_form,conclusion_form
headwear,wig,yes,0.8695135116577148,high,headwear,wigs
clothing,jersey,yes,0.7822907567024231,high,clothing,jerseys
weapon,nutcracker,no,0.7148454189300537,high,weapons,nutcrackers
container,luggage,yes,0.5299358367919922,low,containers,luggage
toy,toy,yes,1.0,high,toys,toys
livestock,antelope,no,0.9291406273841858,high,livestocks,antelopes
office supply,paperclip,yes,0.7534940838813782,high,office supplies,paperclips
animal,horse,yes,0.8727849721908569,high,animals,horses
animal,weed,no,0.45424699783325195,high,animals,weeds
food,birthday cake,yes,0.6969444751739502,high,food,birthday cakes
home decor,rug,yes,0.5846115350723267,high,home decor,rugs
tool,vise,yes,0.90721595287323,high,tools,vise
food,parfait,yes,0.7698441743850708,high,food,parfaits
plant,ukulele,no,0.08345751464366913,low,plants,ukuleles
office supply,gyro,no,0.10617784410715103,low,office supplies,gyros
kitchen equipment,cooker,yes,0.8886160254478455,high,kitchen equipment,cookers
electronic device,camcorder,yes,0.7631503343582153,high,electronic devices,camcorders
seafood,catfish,yes,0.7198686599731445,high,seafood,catfish
protective clothing,lab coat,yes,0.7129411101341248,high,protective clothing,lab coats
mammal,toad,no,0.8833079934120178,high,mammals,toads
container,cabinet,yes,0.5887157917022705,low,containers,cabinets
school supply,stew,no,0.11361934244632721,low,school supplies,stew
mammal,calculator,no,0.10458224266767502,low,mammals,calculators
tool,cannon,no,0.6740327477455139,high,tools,cannons
container,fig,no,0.11090300232172012,low,containers,figs
electronic device,modem,yes,0.7931618690490723,high,electronic devices,modems
office supply,paintbrush,no,0.7190369963645935,high,office supplies,paintbrushes
garden tool,wire cutters,no,0.806033194065094,high,garden tools,wire cutters
mammal,bear,yes,0.9250406622886658,high,mammals,bears
auto part,wheel,yes,0.7263699173927307,high,auto parts,wheels
garden tool,pliers,no,0.8076820969581604,high,garden tools,pliers
home decor,gourd,yes,0.29807600378990173,low,home decor,gourds
animal,moth,yes,0.7943866848945618,high,animals,moths
school supply,guinea pig,no,0.11399809271097183,low,school supplies,guinea pigs
furniture,mattress,yes,0.773476243019104,high,furniture,mattresses
auto part,tank,no,0.7894061207771301,high,auto parts,tanks
animal,harmonica,no,0.12290928512811661,low,animals,harmonicas
tool,thermos,no,0.6721349954605103,high,tools,thermoses
mammal,guinea pig,yes,0.9150551557540894,high,mammals,guinea pigs
water vehicle,boat,yes,0.9448282122612,high,water vehicles,boats
sea animal,turtle,yes,0.7988113164901733,high,sea animals,turtles
kitchen equipment,microwave,yes,0.888939619064331,high,kitchen equipment,microwaves
food,buffet,yes,0.7915907502174377,high,food,buffets
breakfast,ravioli,no,0.8907232880592346,high,breakfasts,ravioli
outerwear,fur coat,yes,0.8759005665779114,high,outerwear,fur coats
animal,mongoose,yes,0.895259439945221,high,animals,mongooses
clothing,bandana,yes,0.7951585054397583,high,clothing,bandanas
food,moss,no,0.38529840111732483,high,food,mosses
fruit,hovercraft,no,0.08717218041419983,low,fruits,hovercrafts
electronic device,microwave,yes,0.7846764922142029,high,electronic devices,microwaves
home decor,piglet,no,0.20132605731487274,low,home decor,piglets
mammal,pigeon,no,0.8868805170059204,high,mammals,pigeons
clothing,pocket,no,0.8342728614807129,high,clothing,pockets
container,dandelion,no,0.11406289041042328,low,containers,dandelions
fruit,melon,yes,0.9082476496696472,high,fruits,melons
dessert,ravioli,no,0.8463961482048035,high,desserts,ravioli
mammal,rat,yes,0.9336038827896118,high,mammals,rats
toy,tostada,no,0.13620640337467194,low,toys,tostadas
vehicle,rocket,yes,0.7646198868751526,high,vehicles,rockets
bird,puffin,yes,0.9222451448440552,high,birds,puffins
animal,wheat,no,0.46007031202316284,high,animals,wheat
weapon,watermelon,no,0.12612177431583405,low,weapons,watermelons
women's clothing,quiche,no,0.15149955451488495,low,women's clothes,quiches
musical instrument,music box,no,0.7073002457618713,high,musical instruments,music boxes
auto part,steering wheel,yes,0.8277729749679565,high,auto parts,steering wheels
mammal,wire,no,0.10398127883672714,low,mammals,wires
tool,jam,no,0.09621841460466385,low,tools,jams
seafood,lamb chop,no,0.8570921421051025,high,seafood,lamb chops
dessert,peanut butter,no,0.8812530040740967,high,desserts,peanut butter
vehicle,cheesecake,no,0.10751017183065414,low,vehicles,cheesecake
electronic device,lamb,no,0.11783812195062637,low,electronic devices,lambs
animal,gazelle,yes,0.8849077820777893,high,animals,gazelles
protective clothing,jumpsuit,no,0.8293973803520203,high,protective clothing,jumpsuits
food,sandpaper,no,0.15263119339942932,low,food,sandpapers
women's clothing,skirt,yes,0.8860392570495605,low,women's clothes,skirts
food,saffron,yes,0.7420172095298767,high,food,saffron
animal,mango,no,0.39598366618156433,high,animals,mangoes
food,cow,no,0.4374994933605194,high,food,cows
tool,screw,yes,0.8863677382469177,high,tools,screws
animal,sardine,yes,0.6384225487709045,high,animals,sardines
tool,raspberry,no,0.09679794311523438,low,tools,raspberries
dessert,peppermint,no,0.8692713975906372,high,desserts,peppermints
drink,sawhorse,no,0.11807144433259964,low,drinks,sawhorses
food,lime,yes,0.7710866928100586,high,food,limes
clothing,puppet,no,0.6375696063041687,high,clothing,puppets
water vehicle,aircraft carrier,yes,0.9539779424667358,high,water vehicles,aircraft carriers
electronic device,vacuum,yes,0.6819523572921753,high,electronic devices,vacuum cleaners
water vehicle,ship,yes,0.9449422955513,high,water vehicles,ships
livestock,pig,yes,0.9248960614204407,high,livestocks,pigs
livestock,bracket,no,0.09530790150165558,high,livestocks,brackets
footwear,mitten,no,0.856890082359314,high,footwear,mittens
plant,ring,no,0.08366695791482925,low,plants,rings
auto part,headlight,yes,0.8250455260276794,high,auto parts,headlights
mammal,crow,no,0.8865979313850403,high,mammals,crows
water vehicle,torpedo,yes,0.7485849261283875,low,water vehicles,torpedoes
food,rolling pin,no,0.48068660497665405,high,food,rolling pins
tool,thermometer,yes,0.5817663073539734,high,tools,thermometers
food,beet,yes,0.7656245827674866,high,food,beets
clothing,leek,no,0.1578565537929535,low,clothing,leeks
toiletry,leopard,no,0.13580189645290375,low,toiletries,leopards
clothing,panties,yes,0.8439598679542542,high,clothing,panties
plant,orchid,yes,0.8491680026054382,high,plants,orchids
livestock,cow,yes,0.9235395193099976,high,livestocks,cows
headwear,crown,yes,0.7096465826034546,low,headwear,crowns
dessert,cheese,yes,0.7376639246940613,high,desserts,cheeses
headwear,bowler hat,yes,0.8469991087913513,high,headwear,bowler hats
toiletry,eyedropper,no,0.6287310719490051,high,toiletries,eyedroppers
dessert,raspberry,no,0.8573419451713562,high,desserts,raspberries
kitchen tool,corkscrew,yes,0.7835265398025513,high,kitchen tools,corkscrews
clothing,biscuit,no,0.16272708773612976,low,clothing,biscuits
livestock,turkey,yes,0.8830289244651794,high,livestocks,turkeys
container,pita,no,0.11107518523931503,low,containers,pita
garden tool,toast,no,0.12874487042427063,low,garden tools,toast
mammal,stereo,no,0.10020892322063446,low,mammals,stereos
women's clothing,jeans,no,0.8878710865974426,high,women's clothes,jeans
tool,chain,yes,0.8241591453552246,high,tools,chains
vehicle,stretcher,no,0.7494668960571289,high,vehicles,stretchers
home decor,chandelier,yes,0.6163257956504822,high,home decor,chandeliers
plant,pear,no,0.8874991536140442,high,plants,pears
animal,lettuce,no,0.40832456946372986,high,animals,lettuce
weapon,granola,no,0.12453921884298325,low,weapons,granola
musical instrument,tambourine,yes,0.7995750904083252,high,musical instruments,tambourines
sea animal,duck,no,0.814932644367218,high,sea animals,ducks
fruit,cantaloupe,yes,0.887807309627533,high,fruits,cantaloupes
dessert,milkshake,yes,0.8532134294509888,high,desserts,milkshakes
food,appetizer,yes,0.7956023812294006,high,food,appetizers
musical instrument,squash,no,0.1105911061167717,low,musical instruments,squash
medical equipment,penlight,yes,0.611080527305603,high,medical equipment,penlights
kitchen tool,spatula,yes,0.7594964504241943,high,kitchen tools,spatulas
mammal,mirror,no,0.10242605954408646,low,mammals,mirrors
container,polar bear,no,0.11491677165031433,low,containers,polar bears
food,egg roll,yes,0.7969751358032227,high,food,egg rolls
animal,seagull,yes,0.8653863668441772,high,animals,seagulls
weapon,ham,no,0.1257704645395279,low,weapons,hams
food,lobster,yes,0.6314752101898193,high,food,lobsters
insect,tarantula,no,0.9004930257797241,high,insects,tarantulas
kitchen tool,funnel,yes,0.645485520362854,low,kitchen tools,funnels
animal,lightning bug,yes,0.8078332543373108,high,animals,lightning bugs
clothing,hood,no,0.8246482610702515,high,clothing,hoods
food,starfish,no,0.4193382263183594,high,food,starfish
vegetable,pomegranate,no,0.8561003804206848,high,vegetables,pomegranates
animal,scallop,yes,0.33075860142707825,low,animals,scallops
mammal,llama,yes,0.91749107837677,high,mammals,llamas
mammal,dog,yes,0.9165910482406616,high,mammals,dogs
furniture,throne,yes,0.6806319355964661,high,furniture,thrones
tool,hubcap,no,0.768007218837738,high,tools,hubcaps
clothing,soup,no,0.15978525578975677,low,clothing,soups
clothing,button,no,0.6388222575187683,high,clothing,buttons
musical instrument,aardvark,no,0.10855939239263535,low,musical instruments,aardvarks
office supply,mongoose,no,0.10631655901670456,low,office supplies,mongooses
food,cupcake,yes,0.7758915424346924,high,food,cupcakes
condiment,biscuit,no,0.8077649474143982,high,condiments,biscuits
fastener,tape,yes,0.616199254989624,low,fasteners,tapes
musical instrument,guitar,yes,0.9013742208480835,high,musical instruments,guitars
animal,needle,no,0.12226127833127975,low,animals,needles
plant,fern,yes,0.9480372071266174,high,plants,ferns
bird,hummingbird,yes,0.9344114065170288,high,birds,hummingbirds
medical equipment,stretcher,yes,0.7134743332862854,high,medical equipment,stretchers
vehicle,wheelbarrow,no,0.6588274240493774,high,vehicles,wheelbarrows
tool,chime,no,0.6923055648803711,high,tools,chimes
accessory,spinach,no,0.14570468664169312,low,accessories,spinach
container,oilcan,yes,0.627299964427948,low,containers,oilcans
musical instrument,saxophone,yes,0.9108311533927917,high,musical instruments,saxophones
food,poinsettia,no,0.46039125323295593,high,food,poinsettias
container,tupperware,yes,0.36489471793174744,low,containers,tupperware
animal,gondola,no,0.39821603894233704,high,animals,gondolas
vehicle,space shuttle,yes,0.8044834136962891,high,vehicles,space shuttles
weapon,axe,yes,0.7760103940963745,high,weapons,axes
food,wineglass,no,0.5946784019470215,high,food,wineglasses
kitchen tool,kettle,yes,0.7763091921806335,high,kitchen tools,kettles
vehicle,dirt bike,yes,0.8070614337921143,high,vehicles,dirt bikes
protective clothing,jacket,no,0.8276277780532837,high,protective clothing,jackets
food,terrarium,no,0.4388276934623718,high,food,terrariums
furniture,star fruit,no,0.11899864673614502,low,furniture,star fruits
toy,yo-yo,yes,0.8564413189888,high,toys,yo-yos
mammal,funnel,no,0.10076005011796951,low,mammals,funnels
animal,frame,no,0.12594114243984222,low,animals,frames
container,terrarium,yes,0.25125038623809814,low,containers,terrariums
food,ring,no,0.15143264830112457,low,food,rings
mammal,catfish,no,0.841060221195221,high,mammals,catfish
food,grass,no,0.43860289454460144,high,food,grass
women's clothing,robe,no,0.9082819223403931,high,women's clothes,robes
school supply,eraser,yes,0.7849225997924805,high,school supplies,erasers
tool,eagle,no,0.10264583677053452,low,tools,eagles
food,cake mix,yes,0.7608462572097778,high,food,cake mixes
livestock,bison,yes,0.9168158173561096,high,livestocks,bisons
clothing,apple,no,0.15968379378318787,low,clothing,apples
clothing,coverall,yes,0.7388829588890076,high,clothing,coveralls
fruit,brussels sprouts,no,0.8841922879219055,high,fruits,brussels sprouts
food,bell,no,0.13123758137226105,low,food,bells
toiletry,reindeer,no,0.13655026257038116,low,toiletries,reindeers
animal,lanyard,no,0.12235388904809952,low,animals,lanyards
food,goose,yes,0.30318573117256165,low,food,geese
plant,lavender,yes,0.8727875351905823,high,plants,lavenders
protective clothing,gyro,no,0.11542487889528275,low,protective clothing,gyros
mammal,raccoon,yes,0.9237666726112366,high,mammals,raccoons
sea animal,blowfish,yes,0.858742356300354,high,sea animals,blowfish
food,sled,no,0.1527189165353775,low,food,sleds
animal,coconut,no,0.38580647110939026,high,animals,coconuts
food,snowshoe,no,0.14836281538009644,low,food,snowshoes
food,mixer,no,0.4812242090702057,high,food,mixers
jewelry,makeup,no,0.8800022602081299,high,jewelry,makeup
food,plaster cast,no,0.137352854013443,low,food,plaster casts
clothing,bowtie,yes,0.8365828990936279,high,clothing,bowties
furniture,car seat,no,0.6674432754516602,high,furniture,car seats
accessory,blouse,no,0.7701975703239441,high,accessories,blouses
women's clothing,tortilla,no,0.15097655355930328,low,women's clothes,tortillas
food,corsage,no,0.35574713349342346,high,food,corsages
toiletry,cow,no,0.13839368522167206,low,toiletries,cows
electronic device,music box,yes,0.5769166946411133,high,electronic devices,music boxes
vegetable,carrot,yes,0.8442586064338684,high,vegetables,carrots
tool,tongs,yes,0.7710739374160767,high,tools,tongs
tool,bracket,yes,0.7789922952651978,high,tools,brackets
tool,lock,yes,0.7991783618927002,high,tools,locks
food,grits,yes,0.7998749017715454,high,food,grits
food,weather vane,no,0.13377809524536133,low,food,weather vanes
livestock,piglet,yes,0.921023964881897,high,livestocks,piglets
water vehicle,cashew,no,0.0998946875333786,low,water vehicles,cashews
vehicle,stuffing,no,0.11040206253528595,low,vehicles,stuffing
musical instrument,taco,no,0.10930255800485611,low,musical instruments,tacos
food,cracker,yes,0.7786388993263245,high,food,crackers
vehicle,hot-air balloon,yes,0.5928497314453125,high,vehicles,hot-air balloons
school supply,notebook,yes,0.7819714546203613,high,school supplies,notebooks
toiletry,razor,yes,0.7052789926528931,high,toiletries,razors
toy,guacamole,no,0.1341119259595871,low,toys,guacamole
dessert,briefcase,no,0.09454081207513809,low,desserts,briefcases
fruit,pear,yes,0.8837827444076538,high,fruits,pears
animal,bonsai,no,0.45654726028442383,high,animals,bonsai
accessory,purse,yes,0.6941984295845032,low,accessories,purses
tool,boomerang,no,0.692592442035675,high,tools,boomerangs
clothing,kimono,yes,0.8412275910377502,high,clothing,kimonos
office supply,ink,yes,0.6920206546783447,high,office supplies,ink
musical instrument,accordion,yes,0.8672469258308411,high,musical instruments,accordions
vehicle,pomegranate,no,0.10749876499176025,low,vehicles,pomegranates
food,oyster,yes,0.7293617725372314,high,food,oysters
weapon,arrow,yes,0.7639908790588379,high,weapons,arrows
toiletry,clipper,yes,0.7071264386177063,high,toiletries,clippers
weapon,meatball,no,0.12468397617340088,low,weapons,meatballs
vehicle,car door,no,0.8110726475715637,high,vehicles,car doors
food,arugula,yes,0.7857022285461426,high,food,arugula
weapon,chisel,no,0.791109561920166,high,weapons,chisels
vehicle,tugboat,yes,0.8871596455574036,high,vehicles,tugboats
plant,pineapple,no,0.8998346924781799,high,plants,pineapples
food,squirt gun,no,0.15872856974601746,low,food,squirt guns
medical equipment,nail clippers,no,0.6078510880470276,high,medical equipment,nail clippers
garden tool,lasagna,no,0.1307452768087387,low,garden tools,lasagna
electronic device,cockroach,no,0.11685075610876083,low,electronic devices,cockroaches
mammal,camel,yes,0.9128681421279907,high,mammals,camels
animal,chick,yes,0.8848097920417786,high,animals,chicks
women's clothing,vest,no,0.8895260691642761,high,women's clothes,vests
tool,revolver,no,0.7162145376205444,high,tools,revolvers
weapon,jam,no,0.12657217681407928,low,weapons,jams
mammal,porcupine,yes,0.9072239398956299,high,mammals,porcupines
food,green beans,yes,0.7463724613189697,high,food,green beans
water vehicle,pomegranate,no,0.10061720013618469,low,water vehicles,pomegranates
office supply,file,yes,0.7687708735466003,high,office supplies,files
electronic device,cockatoo,no,0.1159534901380539,low,electronic devices,cockatoos
condiment,mustard,yes,0.7964506149291992,low,condiments,mustard
animal,wine bottle,no,0.12000889331102371,low,animals,wine bottles
home decor,nightstand,no,0.562128484249115,high,home decor,nightstands
mammal,cellphone,no,0.1048641949892044,low,mammals,cellphones
footwear,scallop,no,0.11084450781345367,low,footwear,scallops
bird,headrest,no,0.08596522361040115,low,birds,headrests
container,sandbag,yes,0.5354076027870178,low,containers,sandbags
furniture,loveseat,yes,0.8235510587692261,high,furniture,loveseats
food,flour,yes,0.6122487187385559,high,food,flour
weapon,icepick,yes,0.6616874933242798,high,weapons,icepicks
electronic device,stereo,yes,0.8292398452758789,high,electronic devices,stereos
game,pinball,yes,0.834200918674469,low,games,pinballs
tool,clipper,yes,0.795135498046875,high,tools,clippers
seafood,screw,no,0.08469205349683762,low,seafood,screws
tool,pastry,no,0.0987650528550148,low,tools,pastries
food,razor,no,0.14110752940177917,low,food,razors
jewelry,urn,no,0.823066234588623,high,jewelry,urns
food,beanbag,no,0.3581562638282776,high,food,beanbags
vehicle,hotdog,no,0.10709011554718018,low,vehicles,hotdogs
mammal,seagull,no,0.882609486579895,high,mammals,seagulls
container,kettle,yes,0.3235487937927246,low,containers,kettles
accessory,headband,yes,0.8069813251495361,high,accessories,headbands
mammal,icepick,no,0.10197412222623825,low,mammals,icepicks
container,tractor,no,0.7012487053871155,high,containers,tractors
kitchen equipment,canister,no,0.7927141189575195,high,kitchen equipment,canisters
drink,pug,no,0.11682061105966568,low,drinks,pugs
plant,locker,no,0.08286864310503006,low,plants,lockers
tool,blowtorch,yes,0.7977874875068665,high,tools,blowtorches
tool,slug,no,0.09768252819776535,low,tools,slugs
electronic device,coffeemaker,yes,0.7048091292381287,high,electronic devices,coffeemakers
fastener,clasp,yes,0.7855425477027893,high,fasteners,clasps
food,cotton candy,yes,0.7159481644630432,high,food,cotton candy
accessory,boa,yes,0.7386369705200195,low,accessories,boas
tool,curling iron,yes,0.7331238985061646,high,tools,curling irons
jewelry,perfume,no,0.8593587279319763,high,jewelry,perfumes
accessory,underwear,no,0.7755149006843567,high,accessories,underwear
medical equipment,first-aid kit,yes,0.760669469833374,high,medical equipment,first-aid kits
food,mushroom,yes,0.6923946738243103,high,food,mushrooms
tool,crank,yes,0.8203577399253845,high,tools,cranks
electronic device,yak,no,0.11507254838943481,low,electronic devices,yaks
kitchen tool,chisel,no,0.7345429062843323,high,kitchen tools,chisels
game,yak,no,0.12097108364105225,low,games,yaks
fruit,peach,yes,0.8929662704467773,high,fruits,peaches
food,fondue,yes,0.7414111495018005,high,food,fondues
mammal,rooster,no,0.9018135070800781,high,mammals,roosters
medical equipment,watermelon,no,0.11989706009626389,low,medical equipment,watermelons
accessory,meatloaf,no,0.1458006501197815,low,accessories,meatloaf
tool,parsley,no,0.10469122976064682,low,tools,parsley
breakfast,burrito,no,0.8817046284675598,high,breakfasts,burritos
accessory,bear,no,0.1451014280319214,low,accessories,bears
food,potato,yes,0.8085877299308777,high,food,potatoes
outerwear,vest,no,0.9048261046409607,high,outerwear,vests
food,turkey,yes,0.3785952627658844,high,food,turkeys
animal,muff,no,0.4424094259738922,high,animals,muffs
livestock,chicken,yes,0.9204353094100952,high,livestocks,chicken
drink,gazelle,no,0.11863677948713303,low,drinks,gazelles
dessert,sword,no,0.09396196156740189,low,desserts,swords
fastener,zipper,yes,0.7212327122688293,high,fasteners,zippers
food,shaving cream,no,0.3762134611606598,high,food,shaving cream
vegetable,bell pepper,yes,0.8636876940727234,high,vegetables,bell peppers
food,shortbread,yes,0.7878751754760742,high,food,shortbread
tool,razor,yes,0.756114661693573,high,tools,razors
breakfast,french fries,yes,0.8600204586982727,low,breakfasts,french fries
candy,candy cane,yes,0.8555077910423279,high,candy,candy canes
container,peanut,no,0.11342868208885193,low,containers,peanuts
breakfast,peanut butter,yes,0.8581212759017944,low,breakfasts,peanut butter
food,coffee,no,0.6582335829734802,high,food,coffee
accessory,bolo tie,yes,0.7892838716506958,high,accessories,bolo ties
seafood,shrimp,yes,0.9387910962104797,high,seafood,shrimps
food,oven,no,0.3892799913883209,high,food,ovens
water vehicle,kiwi,no,0.10041442513465881,low,water vehicles,kiwis
animal,broccoli,no,0.4239194691181183,high,animals,broccoli
animal,razor,no,0.1238919124007225,low,animals,razors
food,gingerbread man,yes,0.616936206817627,high,food,gingerbread men
clothing,t-shirt,yes,0.790603756904602,high,clothing,t-shirts
food,coffee pot,no,0.4121025502681732,high,food,coffee pots
electronic device,camera,yes,0.7629278302192688,high,electronic devices,cameras
animal,letter opener,no,0.11692476272583008,low,animals,letter openers
game,noisemaker,no,0.8590751886367798,high,games,noisemakers
sea animal,remote control,no,0.10446077585220337,low,sea animals,remote controls
livestock,lightbulb,no,0.09492437541484833,low,livestocks,lightbulbs
bird,pelican,yes,0.9041917324066162,high,birds,pelicans
vehicle,taillight,no,0.8118395209312439,high,vehicles,taillights
animal,vulture,yes,0.887295663356781,high,animals,vultures
animal,headlight,no,0.11894521862268448,low,animals,headlights
game,domino,yes,0.8431659936904907,high,games,dominoes
kitchen tool,poodle,no,0.09884089231491089,low,kitchen tools,poodles
food,spatula,no,0.46467870473861694,high,food,spatulas
furniture,coat rack,yes,0.6351527571678162,high,furniture,coat racks
tool,bat,no,0.6698136329650879,high,tools,bats
fruit,radish,no,0.8948476314544678,high,fruits,radishes
food,papaya,yes,0.7928571105003357,high,food,papayas
food,arrow,no,0.1448451578617096,low,food,arrows
food,grapefruit,yes,0.7685051560401917,high,food,grapefruits
jewelry,bracelet,yes,0.8909915089607239,high,jewelry,bracelets
tool,icepick,yes,0.7284128665924072,high,tools,icepicks
mammal,laptop,no,0.10400360822677612,low,mammals,laptops
garden tool,machete,no,0.881168782711029,high,garden tools,machetes
container,flask,yes,0.4019031524658203,low,containers,flasks
animal,turkey,yes,0.8463805913925171,high,animals,turkeys
school supply,highlighter,yes,0.7107759118080139,high,school supplies,highlighters
school supply,alpaca,no,0.11392372101545334,low,school supplies,alpacas
water vehicle,kayak,yes,0.9367030262947083,high,water vehicles,kayaks
musical instrument,xylophone,yes,0.8217244744300842,high,musical instruments,xylophones
container,caterpillar,no,0.11332221329212189,low,containers,caterpillars
vehicle,onion,no,0.10916407406330109,low,vehicles,onions
tool,ruler,yes,0.7474134564399719,high,tools,rulers
outerwear,bun,no,0.13310779631137848,low,outerwear,buns
accessory,glasses,yes,0.6433303356170654,low,accessories,glasses
food,peanut butter,yes,0.8086414933204651,high,food,peanut butter
animal,hippopotamus,yes,0.8719953298568726,high,animals,hippos
clothing,nightshirt,yes,0.8394518494606018,high,clothing,nightshirts
kitchen tool,scoop,yes,0.8355182409286499,high,kitchen tools,scoops
animal,egg,no,0.40380072593688965,high,animals,eggs
tool,margarita,no,0.09842991083860397,low,tools,margaritas
plant,ivy,yes,0.9209280610084534,high,plants,ivy
school supply,tablet,no,0.6536639928817749,high,school supplies,tablets
food,applesauce,yes,0.7758389711380005,high,food,applesauce
food,cornmeal,yes,0.7506453990936279,high,food,cornmeal
bird,lightning bug,no,0.8995863199234009,high,birds,lightning bugs
food,bottle opener,no,0.14569897949695587,low,food,bottle openers
mammal,weasel,yes,0.9079305529594421,high,mammals,weasels
clothing,stiletto,yes,0.7465270757675171,high,clothing,stilettoes
home decor,wind chimes,yes,0.5225462913513184,low,home decor,wind chimes
protective clothing,bulletproof vest,yes,0.8221014142036438,high,protective clothing,bulletproof vests
outerwear,jacket,yes,0.8998363018035889,high,outerwear,jackets
vegetable,papaya,no,0.8779425024986267,high,vegetables,papayas
animal,apron,no,0.12138538062572479,low,animals,aprons
container,vase,yes,0.24942685663700104,low,containers,vases
sea animal,mussel,yes,0.7540363669395447,high,sea animals,mussels
vehicle,limousine,yes,0.8518165946006775,high,vehicles,limousines
auto part,piglet,no,0.09399817883968353,low,auto parts,piglets
electronic device,doorknob,no,0.6297794580459595,high,electronic devices,doorknobs
livestock,zipper,no,0.0940074548125267,low,livestocks,zippers
food,sorbet,yes,0.7789854407310486,high,food,sorbets
food,guitar,no,0.1435936838388443,low,food,guitars
dessert,muffin,yes,0.8405217528343201,high,desserts,muffins
jewelry,tiara,yes,0.9415750503540039,high,jewelry,tiaras
toiletry,badger,no,0.13653704524040222,low,toiletries,badgers
mammal,hammer,no,0.10464443266391754,low,mammals,hammers
container,snowmobile,no,0.6762295961380005,high,containers,snowmobiles
mammal,amplifier,no,0.1026080846786499,low,mammals,amplifiers
accessory,lobster,no,0.14488978683948517,low,accessories,lobsters
furniture,drawer,no,0.8232165575027466,high,furniture,drawers
animal,pine tree,no,0.48802587389945984,high,animals,pine trees
food,moccasin,no,0.14876112341880798,low,food,moccasins
home decor,lamp,yes,0.552180826663971,high,home decor,lamps
accessory,bracelet,yes,0.7091734409332275,low,accessories,bracelets
vegetable,fountain pen,no,0.097789466381073,low,vegetables,fountain pens
animal,lamb,yes,0.8599288463592529,high,animals,lambs
footwear,footrest,no,0.8926454186439514,high,footwear,footrests
home decor,birdcage,yes,0.5402357578277588,high,home decor,birdcages
drink,latte,yes,0.8927625417709351,high,drinks,lattes
sea animal,frog,no,0.8113834261894226,high,sea animals,frogs
mammal,noisemaker,no,0.10372111201286316,low,mammals,noisemakers
mammal,warthog,yes,0.9306977987289429,high,mammals,warthogs
tool,grinder,yes,0.715092122554779,high,tools,grinders
clothing,enchilada,no,0.160309299826622,low,clothing,enchiladas
office supply,highlighter,yes,0.6799885034561157,high,office supplies,highlighters
food,air mattress,no,0.15338245034217834,low,food,air mattresses
clothing,vest,yes,0.880241334438324,high,clothing,vests
jewelry,brooch,yes,0.9080586433410645,high,jewelry,brooches
animal,lavender,no,0.43910354375839233,high,animals,lavenders
food,tea,no,0.6764296293258667,high,food,tea
mammal,fountain pen,no,0.10167764127254486,low,mammals,fountain pens
clothing,peanut butter,no,0.1595602035522461,low,clothing,peanut butter
tool,paintbrush,yes,0.6792879104614258,high,tools,paintbrushes
furniture,corn,no,0.11875312030315399,low,furniture,corn
weapon,revolver,yes,0.8415724039077759,high,weapons,revolvers
home decor,potpourri,yes,0.515909731388092,low,home decor,potpourris
animal,highchair,no,0.11900686472654343,low,animals,highchairs
livestock,horse,yes,0.93081134557724,high,livestocks,horses
game,checkers,yes,0.9125919938087463,high,games,checkers
mammal,icemaker,no,0.10189536213874817,low,mammals,icemakers
dessert,cookie,yes,0.8155775666236877,high,desserts,cookies
tool,padlock,yes,0.807624340057373,high,tools,padlocks
fruit,poker,no,0.08611845970153809,low,fruits,pokers
tool,spear,no,0.811525285243988,high,tools,spears
dessert,brownie,yes,0.8127970099449158,high,desserts,brownies
food,donut,yes,0.7990000247955322,high,food,donuts
toiletry,hairdryer,yes,0.6855746507644653,high,toiletries,hairdryers
container,taillight,no,0.7571617364883423,high,containers,taillights
food,dip,yes,0.8014770746231079,high,food,dip
animal,moose,yes,0.8768523335456848,high,animals,moose
toiletry,nail polish,yes,0.7889260053634644,high,toiletries,nail polish
breakfast,sandwich,yes,0.8576498031616211,low,breakfasts,sandwiches
mammal,cobra,no,0.8812094926834106,high,mammals,cobras
animal,walrus,yes,0.8495398163795471,high,animals,walruses
toy,toast,no,0.1354113221168518,low,toys,toast
tool,anvil,yes,0.7929614186286926,high,tools,anvils
insect,teacup,no,0.10255126655101776,low,insects,teacups
furniture,bed,yes,0.8097953200340271,high,furniture,beds
tool,chisel,yes,0.9285576939582825,high,tools,chisels
clothing,pillow,no,0.6567555665969849,high,clothing,pillows
animal,harp,no,0.11812301725149155,low,animals,harps
mammal,sewing machine,no,0.10050011426210403,low,mammals,sewing machines
clothing,tomato sauce,no,0.15830421447753906,low,clothing,tomato sauce
tool,trashcan,no,0.7456841468811035,high,tools,trashcans
food,cleaver,no,0.3789575397968292,high,food,cleavers
clothing,brush,no,0.621117889881134,high,clothing,brushes
mammal,mole,yes,0.9126342535018921,high,mammals,moles
mammal,aardvark,yes,0.9125838279724121,high,mammals,aardvarks
electronic device,calculator,no,0.7343364357948303,high,electronic devices,calculators
animal,blender,no,0.1253664791584015,low,animals,blenders
vegetable,tomato,yes,0.8643250465393066,high,vegetables,tomatoes
home decor,dollhouse,no,0.5386913418769836,high,home decor,dollhouses
clothing,backpack,no,0.7539429068565369,high,clothing,backpacks
breakfast,helicopter,no,0.10962197184562683,low,breakfasts,helicopters
