item,idx,category,category_item,hypernym,hypernym_item,swapped-hyponym,swapped-hypernym,hypernym_question,swapped_question
355,1417,asparagus,asparagus,food,food,food,asparagus,Is it true that asparagus is a type of food?,Is it true that food is a type of asparagus?
356,1421,asparagus,asparagus,vegetable,vegetable,vegetable,asparagus,Is it true that asparagus is a type of vegetable?,Is it true that a vegetable are a type of asparagus?
357,1425,pesto,pesto,condiment,condiment,condiment,pesto,Is it true that pesto is a type of condiment?,Is it true that a condiment are a type of pesto?
358,1429,pesto,pesto,food,food,food,pesto,Is it true that pesto is a type of food?,Is it true that food is a type of pesto?
359,1433,perfume,perfumes,toiletry,toiletry,toiletries,perfume,Is it true that perfumes are a type of toiletry?,Is it true that toiletries are a type of perfume?
360,1437,ball,balls,toy,toy,toys,ball,Is it true that balls are a type of toy?,Is it true that toys are a type of ball?
361,1441,mop,mops,tool,tool,tools,mop,Is it true that mops are a type of tool?,Is it true that tools are a type of mop?
362,1445,polo shirt,polo shirts,clothing,clothing,clothing,polo shirt,Is it true that polo shirts are a type of clothing?,Is it true that clothing is a type of polo shirt?
363,1449,chicken,chicken,bird,bird,bird,chicken,Is it true that a chicken is a type of bird?,Is it true that a bird are a type of chicken?
364,1453,chicken,chicken,food,food,food,chicken,Is it true that a chicken is a type of food?,Is it true that food is a type of chicken?
365,1457,chicken,chicken,livestock,livestock,livestock,chicken,Is it true that a chicken is a type of livestock?,Is it true that livestock are a type of chicken?
366,1461,chicken,chicken,animal,animal,animal,chicken,Is it true that a chicken is a type of animal?,Is it true that an animal are a type of chicken?
367,1465,meatloaf,meatloaf,food,food,food,meatloaf,Is it true that a meatloaf is a type of food?,Is it true that food is a type of meatloaf?
368,1469,lizard,lizards,animal,animal,animals,lizard,Is it true that lizards are a type of animal?,Is it true that animals are a type of lizard?
369,1473,diaper,diapers,clothing,clothing,clothing,diaper,Is it true that diapers are a type of clothing?,Is it true that clothing is a type of diaper?
370,1477,diaper,diapers,toiletry,toiletry,toiletries,diaper,Is it true that diapers are a type of toiletry?,Is it true that toiletries are a type of diaper?
371,1481,gasket,gaskets,fastener,fastener,fasteners,gasket,Is it true that gaskets are a type of fastener?,Is it true that fasteners are a type of gasket?
372,1485,gasket,gaskets,auto part,auto part,auto parts,gasket,Is it true that gaskets are a type of auto part?,Is it true that auto parts are a type of gasket?
373,1489,chaps,chapsticks,clothing,clothing,clothing,chapstick,Is it true that chapsticks are a type of clothing?,Is it true that clothing is a type of chapstick?
374,1493,wallpaper,wallpapers,home decor,home decor,home decors,wallpaper,Is it true that wallpapers are a type of home decor?,Is it true that home decors is a type of wallpaper?
375,1497,shears,shears,garden tool,garden tool,garden tools,shears,Is it true that shears are a type of garden tool?,Is it true that garden tools are a type of shears?
376,1501,shears,shears,tool,tool,tools,shears,Is it true that shears are a type of tool?,Is it true that tools are a type of shears?
377,1505,souffle,souffles,food,food,foods,souffle,Is it true that souffles are a type of food?,Is it true that foods is a type of souffle?
378,1509,souffle,souffles,dessert,dessert,desserts,souffle,Is it true that souffles are a type of dessert?,Is it true that desserts are a type of souffle?
379,1513,rhubarb,rhubarbs,food,food,foods,rhubarb,Is it true that rhubarbs are a type of food?,Is it true that foods is a type of rhubarb?
380,1517,rhubarb,rhubarbs,vegetable,vegetable,vegetables,rhubarb,Is it true that rhubarbs are a type of vegetable?,Is it true that vegetables are a type of rhubarb?
381,1521,pantsuit,pantsuits,clothing,clothing,clothing,pantsuit,Is it true that pantsuits are a type of clothing?,Is it true that clothing is a type of pantsuit?
382,1525,pantsuit,pantsuits,women's clothing,women's clothes,women's clothes,pantsuit,Is it true that pantsuits are a type of women's clothes?,Is it true that women's clothes are a type of pantsuit?
383,1529,armor,armor,protective clothing,protective clothing,protective clothing,armor,Is it true that armor is a type of protective clothing?,Is it true that protective clothing is a type of armor?
384,1533,armor,armor,clothing,clothing,clothing,armor,Is it true that armor is a type of clothing?,Is it true that clothing is a type of armor?
385,1537,folder,folders,school supply,school supply,school supplies,folder,Is it true that folders are a type of school supply?,Is it true that school supplies are a type of folder?
386,1541,folder,folders,office supply,office supply,office supplies,folder,Is it true that folders are a type of office supply?,Is it true that office supplies are a type of folder?
387,1545,book,books,school supply,school supply,school supplies,book,Is it true that books are a type of school supply?,Is it true that school supplies are a type of book?
388,1549,landmine,landmines,weapon,weapon,weapons,landmine,Is it true that landmines are a type of weapon?,Is it true that weapons are a type of landmine?
389,1553,bison,bisons,mammal,mammal,mammals,bison,Is it true that bisons are a type of mammal?,Is it true that mammals are a type of bison?
390,1557,bison,bisons,livestock,livestock,livestocks,bison,Is it true that bisons are a type of livestock?,Is it true that livestocks are a type of bison?
391,1561,bison,bisons,animal,animal,animals,bison,Is it true that bisons are a type of animal?,Is it true that animals are a type of bison?
392,1565,wafer,wafers,food,food,foods,wafer,Is it true that wafers are a type of food?,Is it true that foods is a type of wafer?
393,1569,walrus,walruses,mammal,mammal,mammals,walrus,Is it true that walruses are a type of mammal?,Is it true that mammals are a type of walrus?
394,1573,walrus,walruses,animal,animal,animals,walrus,Is it true that walruses are a type of animal?,Is it true that animals are a type of walrus?
395,1577,walrus,walruses,sea animal,sea animal,sea animals,walrus,Is it true that walruses are a type of sea animal?,Is it true that sea animals are a type of walrus?
396,1581,cheeseburger,cheeseburgers,food,food,foods,cheeseburger,Is it true that cheeseburgers are a type of food?,Is it true that foods is a type of cheeseburger?
397,1585,headdress,headdresses,clothing,clothing,clothing,headdress,Is it true that headdresses are a type of clothing?,Is it true that clothing is a type of headdress?
398,1589,headdress,headdresses,headwear,headwear,headwear,headdress,Is it true that headdresses are a type of headwear?,Is it true that headwear is a type of headdress?
399,1593,headdress,headdresses,accessory,accessory,accessories,headdress,Is it true that headdresses are a type of accessory?,Is it true that accessories are a type of headdress?
400,1597,fast food,fast foods,food,food,foods,fast food,Is it true that fast foods are a type of food?,Is it true that foods is a type of fast food?
401,1601,barrette,barrettes,jewelry,jewelry,jewelries,barrette,Is it true that barrettes are a type of jewelry?,Is it true that jewelries is a type of barrette?
402,1605,barrette,barrettes,fastener,fastener,fasteners,barrette,Is it true that barrettes are a type of fastener?,Is it true that fasteners are a type of barrette?
403,1609,bag,bags,container,container,containers,bag,Is it true that bags are a type of container?,Is it true that containers are a type of bag?
404,1613,overalls,overalls,clothing,clothing,clothing,overalls,Is it true that overalls are a type of clothing?,Is it true that clothing is a type of overalls?
405,1617,overalls,overalls,protective clothing,protective clothing,protective clothings,overalls,Is it true that overalls are a type of protective clothing?,Is it true that protective clothings is a type of overalls?
406,1621,overalls,overalls,outerwear,outerwear,outerwear,overalls,Is it true that overalls are a type of outerwear?,Is it true that outerwear is a type of overalls?
407,1625,candy bar,candy bars,food,food,foods,candy bar,Is it true that candy bars are a type of food?,Is it true that foods is a type of candy bar?
408,1629,candy bar,candy bars,candy,candy,candies,candy bar,Is it true that candy bars are a type of candy?,Is it true that candies is a type of candy bar?
409,1633,ferret,ferrets,mammal,mammal,mammals,ferret,Is it true that ferrets are a type of mammal?,Is it true that mammals are a type of ferret?
410,1637,ferret,ferrets,animal,animal,animals,ferret,Is it true that ferrets are a type of animal?,Is it true that animals are a type of ferret?
411,1641,spider,spiders,animal,animal,animals,spider,Is it true that spiders are a type of animal?,Is it true that animals are a type of spider?
412,1645,gravy,gravy,food,food,food,gravy,Is it true that gravy is a type of food?,Is it true that food is a type of gravy?
413,1649,gravy,gravy,condiment,condiment,condiment,gravy,Is it true that gravy is a type of condiment?,Is it true that a condiment are a type of gravy?
414,1653,pitchfork,pitchforks,tool,tool,tools,pitchfork,Is it true that pitchforks are a type of tool?,Is it true that tools are a type of pitchfork?
415,1657,pitchfork,pitchforks,garden tool,garden tool,garden tools,pitchfork,Is it true that pitchforks are a type of garden tool?,Is it true that garden tools are a type of pitchfork?
416,1661,pitchfork,pitchforks,weapon,weapon,weapons,pitchfork,Is it true that pitchforks are a type of weapon?,Is it true that weapons are a type of pitchfork?
417,1665,cocktail,cocktails,drink,drink,drinks,cocktail,Is it true that cocktails are a type of drink?,Is it true that drinks are a type of cocktail?
418,1669,piggy bank,piggy banks,container,container,containers,piggy bank,Is it true that piggy banks are a type of container?,Is it true that containers are a type of piggy bank?
419,1673,knob,knobs,tool,tool,tools,knob,Is it true that knobs are a type of tool?,Is it true that tools are a type of knob?
420,1677,crow,crows,animal,animal,animals,crow,Is it true that crows are a type of animal?,Is it true that animals are a type of crow?
421,1681,crow,crows,bird,bird,birds,crow,Is it true that crows are a type of bird?,Is it true that birds are a type of crow?
422,1685,valve,valves,tool,tool,tools,valve,Is it true that valves are a type of tool?,Is it true that tools are a type of valve?
423,1689,broccoli,broccoli,vegetable,vegetable,vegetable,broccoli,Is it true that broccoli is a type of vegetable?,Is it true that a vegetable are a type of broccoli?
424,1693,broccoli,broccoli,plant,plant,plant,broccoli,Is it true that broccoli is a type of plant?,Is it true that a plant are a type of broccoli?
425,1697,broccoli,broccoli,food,food,food,broccoli,Is it true that broccoli is a type of food?,Is it true that food is a type of broccoli?
426,1701,sewing machine,sewing machines,electronic device,electronic device,electronic devices,sewing machine,Is it true that sewing machines are a type of electronic device?,Is it true that electronic devices are a type of sewing machine?
427,1705,gearshift,gearshifts,auto part,auto part,auto parts,gearshift,Is it true that gearshifts are a type of auto part?,Is it true that auto parts are a type of gearshift?
428,1709,doorhandle,doorhandles,tool,tool,tools,doorhandle,Is it true that doorhandles are a type of tool?,Is it true that tools are a type of doorhandle?
429,1713,seal,seals,animal,animal,animals,seal,Is it true that seals are a type of animal?,Is it true that animals are a type of seal?
430,1717,seal,seals,sea animal,sea animal,sea animals,seal,Is it true that seals are a type of sea animal?,Is it true that sea animals are a type of seal?
431,1721,seal,seals,mammal,mammal,mammals,seal,Is it true that seals are a type of mammal?,Is it true that mammals are a type of seal?
432,1725,mussel,mussels,food,food,foods,mussel,Is it true that mussels are a type of food?,Is it true that foods is a type of mussel?
433,1729,mussel,mussels,sea animal,sea animal,sea animals,mussel,Is it true that mussels are a type of sea animal?,Is it true that sea animals are a type of mussel?
434,1733,mussel,mussels,animal,animal,animals,mussel,Is it true that mussels are a type of animal?,Is it true that animals are a type of mussel?
435,1737,mussel,mussels,seafood,seafood,seafoods,mussel,Is it true that mussels are a type of seafood?,Is it true that seafoods is a type of mussel?
436,1741,flatiron,flatirons,toiletry,toiletry,toiletries,flatiron,Is it true that flatirons are a type of toiletry?,Is it true that toiletries are a type of flatiron?
437,1745,crouton,croutons,food,food,foods,crouton,Is it true that croutons are a type of food?,Is it true that foods is a type of crouton?
438,1749,pea,peas,food,food,foods,pea,Is it true that peas are a type of food?,Is it true that foods is a type of pea?
439,1753,pea,peas,vegetable,vegetable,vegetables,pea,Is it true that peas are a type of vegetable?,Is it true that vegetables are a type of pea?
440,1757,belt buckle,belt buckles,fastener,fastener,fasteners,belt buckle,Is it true that belt buckles are a type of fastener?,Is it true that fasteners are a type of belt buckle?
441,1761,belt buckle,belt buckles,accessory,accessory,accessories,belt buckle,Is it true that belt buckles are a type of accessory?,Is it true that accessories are a type of belt buckle?
442,1765,hamburger,hamburgers,food,food,foods,hamburger,Is it true that hamburgers are a type of food?,Is it true that foods is a type of hamburger?
443,1769,toothpick,toothpicks,toiletry,toiletry,toiletries,toothpick,Is it true that toothpicks are a type of toiletry?,Is it true that toiletries are a type of toothpick?
444,1773,boomerang,boomerangs,toy,toy,toys,boomerang,Is it true that boomerangs are a type of toy?,Is it true that toys are a type of boomerang?
445,1777,boomerang,boomerangs,weapon,weapon,weapons,boomerang,Is it true that boomerangs are a type of weapon?,Is it true that weapons are a type of boomerang?
446,1781,guacamole,guacamole,food,food,food,guacamole,Is it true that guacamole is a type of food?,Is it true that food is a type of guacamole?
447,1785,lamb,lambs,livestock,livestock,livestocks,lamb,Is it true that lambs are a type of livestock?,Is it true that livestocks are a type of lamb?
448,1789,lamb,lambs,mammal,mammal,mammals,lamb,Is it true that lambs are a type of mammal?,Is it true that mammals are a type of lamb?
449,1793,lamb,lambs,animal,animal,animals,lamb,Is it true that lambs are a type of animal?,Is it true that animals are a type of lamb?
450,1797,lamb,lambs,food,food,foods,lamb,Is it true that lambs are a type of food?,Is it true that foods is a type of lamb?
451,1801,fishnet stockings,fishnet stockings,women's clothing,women's clothes,women's clothes,fishnet stockings,Is it true that fishnet stockings are a type of women's clothes?,Is it true that women's clothes are a type of fishnet stockings?
452,1805,fishnet stockings,fishnet stockings,clothing,clothing,clothing,fishnet stockings,Is it true that fishnet stockings are a type of clothing?,Is it true that clothing is a type of fishnet stockings?
453,1809,whale,whales,animal,animal,animals,whale,Is it true that whales are a type of animal?,Is it true that animals are a type of whale?
454,1813,whale,whales,sea animal,sea animal,sea animals,whale,Is it true that whales are a type of sea animal?,Is it true that sea animals are a type of whale?
455,1817,whale,whales,mammal,mammal,mammals,whale,Is it true that whales are a type of mammal?,Is it true that mammals are a type of whale?
456,1821,chive,chives,plant,plant,plants,chive,Is it true that chives are a type of plant?,Is it true that plants are a type of chive?
457,1825,chive,chives,food,food,foods,chive,Is it true that chives are a type of food?,Is it true that foods is a type of chive?
458,1829,chive,chives,vegetable,vegetable,vegetables,chive,Is it true that chives are a type of vegetable?,Is it true that vegetables are a type of chive?
459,1833,frisbee,frisbees,toy,toy,toys,frisbee,Is it true that frisbees are a type of toy?,Is it true that toys are a type of frisbee?
460,1837,raspberry,raspberries,food,food,foods,raspberry,Is it true that raspberries are a type of food?,Is it true that foods is a type of raspberry?
461,1841,raspberry,raspberries,fruit,fruit,fruits,raspberry,Is it true that raspberries are a type of fruit?,Is it true that fruits are a type of raspberry?
462,1845,orangutan,orangutans,animal,animal,animals,orangutan,Is it true that orangutans are a type of animal?,Is it true that animals are a type of orangutan?
463,1849,orangutan,orangutans,mammal,mammal,mammals,orangutan,Is it true that orangutans are a type of mammal?,Is it true that mammals are a type of orangutan?
464,1853,handkerchief,handkerchiefs,accessory,accessory,accessories,handkerchief,Is it true that handkerchiefs are a type of accessory?,Is it true that accessories are a type of handkerchief?
465,1857,clipboard,clipboards,office supply,office supply,office supplies,clipboard,Is it true that clipboards are a type of office supply?,Is it true that office supplies are a type of clipboard?
466,1861,pistachio,pistachios,food,food,foods,pistachio,Is it true that pistachios are a type of food?,Is it true that foods is a type of pistachio?
467,1865,bamboo,bamboos,plant,plant,plants,bamboo,Is it true that bamboos are a type of plant?,Is it true that plants are a type of bamboo?
468,1869,speedboat,speedboats,water vehicle,water vehicle,water vehicles,speedboat,Is it true that speedboats are a type of water vehicle?,Is it true that water vehicles are a type of speedboat?
469,1873,speedboat,speedboats,vehicle,vehicle,vehicles,speedboat,Is it true that speedboats are a type of vehicle?,Is it true that vehicles are a type of speedboat?
470,1877,table,tables,furniture,furniture,furniture,table,Is it true that tables are a type of furniture?,Is it true that furniture is a type of table?
471,1881,pillbox,pillboxes,container,container,containers,pillbox,Is it true that pillboxes are a type of container?,Is it true that containers are a type of pillbox?
472,1885,pillbox,pillboxes,medical equipment,medical equipment,medical equipments,pillbox,Is it true that pillboxes are a type of medical equipment?,Is it true that medical equipments is a type of pillbox?
473,1889,stilt,stilts,toy,toy,toys,stilt,Is it true that stilts are a type of toy?,Is it true that toys are a type of stilt?
474,1893,tarantula,tarantulas,animal,animal,animals,tarantula,Is it true that tarantulas are a type of animal?,Is it true that animals are a type of tarantula?
475,1897,chipmunk,chipmunks,animal,animal,animals,chipmunk,Is it true that chipmunks are a type of animal?,Is it true that animals are a type of chipmunk?
476,1901,chipmunk,chipmunks,mammal,mammal,mammals,chipmunk,Is it true that chipmunks are a type of mammal?,Is it true that mammals are a type of chipmunk?
477,1905,ship,ships,vehicle,vehicle,vehicles,ship,Is it true that ships are a type of vehicle?,Is it true that vehicles are a type of ship?
478,1909,ship,ships,water vehicle,water vehicle,water vehicles,ship,Is it true that ships are a type of water vehicle?,Is it true that water vehicles are a type of ship?
479,1913,clarinet,clarinets,musical instrument,musical instrument,musical instruments,clarinet,Is it true that clarinets are a type of musical instrument?,Is it true that musical instruments are a type of clarinet?
480,1917,brooch,brooches,accessory,accessory,accessories,brooch,Is it true that brooches are a type of accessory?,Is it true that accessories are a type of brooch?
481,1921,brooch,brooches,jewelry,jewelry,jewelries,brooch,Is it true that brooches are a type of jewelry?,Is it true that jewelries is a type of brooch?
482,1925,hummingbird,hummingbirds,animal,animal,animals,hummingbird,Is it true that hummingbirds are a type of animal?,Is it true that animals are a type of hummingbird?
483,1929,hummingbird,hummingbirds,bird,bird,birds,hummingbird,Is it true that hummingbirds are a type of bird?,Is it true that birds are a type of hummingbird?
484,1933,sofa bed,sofa beds,furniture,furniture,furniture,sofa bed,Is it true that sofa beds are a type of furniture?,Is it true that furniture is a type of sofa bed?
485,1937,mascara,mascaras,toiletry,toiletry,toiletries,mascara,Is it true that mascaras are a type of toiletry?,Is it true that toiletries are a type of mascara?
486,1941,gumball,gumballs,candy,candy,candies,gumball,Is it true that gumballs are a type of candy?,Is it true that candies is a type of gumball?
487,1945,gumball,gumballs,food,food,foods,gumball,Is it true that gumballs are a type of food?,Is it true that foods is a type of gumball?
488,1949,butterfly,butterflies,insect,insect,insects,butterfly,Is it true that butterflies are a type of insect?,Is it true that insects are a type of butterfly?
489,1953,butterfly,butterflies,animal,animal,animals,butterfly,Is it true that butterflies are a type of animal?,Is it true that animals are a type of butterfly?
490,1957,crayon,crayons,school supply,school supply,school supplies,crayon,Is it true that crayons are a type of school supply?,Is it true that school supplies are a type of crayon?
491,1961,crayon,crayons,toy,toy,toys,crayon,Is it true that crayons are a type of toy?,Is it true that toys are a type of crayon?
492,1965,octopus,octopus,seafood,seafood,seafood,octopus,Is it true that an octopus is a type of seafood?,Is it true that seafood is a type of octopus?
493,1969,octopus,octopus,food,food,food,octopus,Is it true that an octopus is a type of food?,Is it true that food is a type of octopus?
494,1973,octopus,octopus,sea animal,sea animal,sea animal,octopus,Is it true that an octopus is a type of sea animal?,Is it true that a sea animal are a type of octopus?
495,1977,octopus,octopus,animal,animal,animal,octopus,Is it true that an octopus is a type of animal?,Is it true that an animal are a type of octopus?
496,1981,pinball,pinballs,electronic device,electronic device,electronic devices,pinball,Is it true that pinballs are a type of electronic device?,Is it true that electronic devices are a type of pinball?
497,1985,pinball,pinballs,game,game,games,pinball,Is it true that pinballs are a type of game?,Is it true that games are a type of pinball?
498,1989,pocketknife,pocketknives,tool,tool,tools,pocketknife,Is it true that pocketknives are a type of tool?,Is it true that tools are a type of pocketknife?
499,1993,pocketknife,pocketknives,weapon,weapon,weapons,pocketknife,Is it true that pocketknives are a type of weapon?,Is it true that weapons are a type of pocketknife?
500,1997,ready meal,ready meals,food,food,foods,ready meal,Is it true that ready meals are a type of food?,Is it true that foods is a type of ready meal?
501,2001,leopard,leopards,animal,animal,animals,leopard,Is it true that leopards are a type of animal?,Is it true that animals are a type of leopard?
502,2005,leopard,leopards,mammal,mammal,mammals,leopard,Is it true that leopards are a type of mammal?,Is it true that mammals are a type of leopard?
503,2009,calf,calves,livestock,livestock,livestocks,calf,Is it true that calves are a type of livestock?,Is it true that livestocks are a type of calf?
504,2013,calf,calves,animal,animal,animals,calf,Is it true that calves are a type of animal?,Is it true that animals are a type of calf?
505,2017,calf,calves,mammal,mammal,mammals,calf,Is it true that calves are a type of mammal?,Is it true that mammals are a type of calf?
506,2021,yolk,egg yolks,food,food,foods,egg yolk,Is it true that egg yolks are a type of food?,Is it true that foods is a type of egg yolk?
507,2025,playing card,playing cards,game,game,games,playing card,Is it true that playing cards are a type of game?,Is it true that games are a type of playing card?
508,2029,boxer shorts,boxer shorts,clothing,clothing,clothing,boxer shorts,Is it true that boxer shorts are a type of clothing?,Is it true that clothing is a type of boxer shorts?
509,2033,hyena,hyenas,mammal,mammal,mammals,hyena,Is it true that hyenas are a type of mammal?,Is it true that mammals are a type of hyena?
510,2037,hyena,hyenas,animal,animal,animals,hyena,Is it true that hyenas are a type of animal?,Is it true that animals are a type of hyena?
511,2041,margarita,margaritas,drink,drink,drinks,margarita,Is it true that margaritas are a type of drink?,Is it true that drinks are a type of margarita?
512,2045,bat,bats,mammal,mammal,mammals,bat,Is it true that bats are a type of mammal?,Is it true that mammals are a type of bat?
513,2049,bat,bats,weapon,weapon,weapons,bat,Is it true that bats are a type of weapon?,Is it true that weapons are a type of bat?
514,2053,bat,bats,animal,animal,animals,bat,Is it true that bats are a type of animal?,Is it true that animals are a type of bat?
515,2057,bok choy,bok choys,plant,plant,plants,bok choy,Is it true that bok choys are a type of plant?,Is it true that plants are a type of bok choy?
516,2061,bok choy,bok choys,vegetable,vegetable,vegetables,bok choy,Is it true that bok choys are a type of vegetable?,Is it true that vegetables are a type of bok choy?
517,2065,bok choy,bok choys,food,food,foods,bok choy,Is it true that bok choys are a type of food?,Is it true that foods is a type of bok choy?
518,2069,lego,legos,toy,toy,toys,lego,Is it true that legos are a type of toy?,Is it true that toys are a type of lego?
519,2073,tweezers,tweezers,medical equipment,medical equipment,medical equipments,tweezers,Is it true that tweezers are a type of medical equipment?,Is it true that medical equipments is a type of tweezers?
520,2077,tweezers,tweezers,tool,tool,tools,tweezers,Is it true that tweezers are a type of tool?,Is it true that tools are a type of tweezers?
521,2081,tweezers,tweezers,toiletry,toiletry,toiletries,tweezers,Is it true that tweezers are a type of toiletry?,Is it true that toiletries are a type of tweezers?
522,2085,peeler,peelers,kitchen tool,kitchen tool,kitchen tools,peeler,Is it true that peelers are a type of kitchen tool?,Is it true that kitchen tools are a type of peeler?
523,2089,peeler,peelers,tool,tool,tools,peeler,Is it true that peelers are a type of tool?,Is it true that tools are a type of peeler?
524,2093,rake,rakes,garden tool,garden tool,garden tools,rake,Is it true that rakes are a type of garden tool?,Is it true that garden tools are a type of rake?
525,2097,rake,rakes,tool,tool,tools,rake,Is it true that rakes are a type of tool?,Is it true that tools are a type of rake?
526,2101,batter,batters,food,food,foods,batter,Is it true that batters are a type of food?,Is it true that foods is a type of batter?
527,2105,inhaler,inhalers,medical equipment,medical equipment,medical equipments,inhaler,Is it true that inhalers are a type of medical equipment?,Is it true that medical equipments is a type of inhaler?
528,2109,poker,pokers,tool,tool,tools,poker,Is it true that pokers are a type of tool?,Is it true that tools are a type of poker?
529,2113,mango,mangoes,food,food,foods,mango,Is it true that mangoes are a type of food?,Is it true that foods is a type of mango?
530,2117,mango,mangoes,fruit,fruit,fruits,mango,Is it true that mangoes are a type of fruit?,Is it true that fruits are a type of mango?
531,2121,jet,jets,vehicle,vehicle,vehicles,jet,Is it true that jets are a type of vehicle?,Is it true that vehicles are a type of jet?
532,2125,turntable,turntables,electronic device,electronic device,electronic devices,turntable,Is it true that turntables are a type of electronic device?,Is it true that electronic devices are a type of turntable?
533,2129,sauce,sauces,condiment,condiment,condiments,sauce,Is it true that sauces are a type of condiment?,Is it true that condiments are a type of sauce?
534,2133,sauce,sauces,food,food,foods,sauce,Is it true that sauces are a type of food?,Is it true that foods is a type of sauce?
535,2137,curtain,curtains,home decor,home decor,home decors,curtain,Is it true that curtains are a type of home decor?,Is it true that home decors is a type of curtain?
536,2141,envelope,envelopes,office supply,office supply,office supplies,envelope,Is it true that envelopes are a type of office supply?,Is it true that office supplies are a type of envelope?
537,2145,forklift,forklifts,vehicle,vehicle,vehicles,forklift,Is it true that forklifts are a type of vehicle?,Is it true that vehicles are a type of forklift?
538,2149,pickax,pickaxes,garden tool,garden tool,garden tools,pickax,Is it true that pickaxes are a type of garden tool?,Is it true that garden tools are a type of pickax?
539,2153,pickax,pickaxes,weapon,weapon,weapons,pickax,Is it true that pickaxes are a type of weapon?,Is it true that weapons are a type of pickax?
540,2157,pickax,pickaxes,tool,tool,tools,pickax,Is it true that pickaxes are a type of tool?,Is it true that tools are a type of pickax?
541,2161,dog,dogs,animal,animal,animals,dog,Is it true that dogs are a type of animal?,Is it true that animals are a type of dog?
542,2165,dog,dogs,mammal,mammal,mammals,dog,Is it true that dogs are a type of mammal?,Is it true that mammals are a type of dog?
543,2169,centerpiece,centerpieces,home decor,home decor,home decors,centerpiece,Is it true that centerpieces are a type of home decor?,Is it true that home decors is a type of centerpiece?
544,2173,cart,carts,vehicle,vehicle,vehicles,cart,Is it true that carts are a type of vehicle?,Is it true that vehicles are a type of cart?
545,2177,hotplate,hotplates,kitchen equipment,kitchen equipment,kitchen equipment,hotplate,Is it true that hotplates are a type of kitchen equipment?,Is it true that kitchen equipment is a type of hotplate?
546,2181,hotplate,hotplates,electronic device,electronic device,electronic devices,hotplate,Is it true that hotplates are a type of electronic device?,Is it true that electronic devices are a type of hotplate?
547,2185,pheasant,pheasants,bird,bird,birds,pheasant,Is it true that pheasants are a type of bird?,Is it true that birds are a type of pheasant?
548,2189,pheasant,pheasants,animal,animal,animals,pheasant,Is it true that pheasants are a type of animal?,Is it true that animals are a type of pheasant?
549,2193,prune,prunes,fruit,fruit,fruits,prune,Is it true that prunes are a type of fruit?,Is it true that fruits are a type of prune?
550,2197,prune,prunes,food,food,foods,prune,Is it true that prunes are a type of food?,Is it true that foods is a type of prune?
551,2201,crossbow,crossbows,weapon,weapon,weapons,crossbow,Is it true that crossbows are a type of weapon?,Is it true that weapons are a type of crossbow?
552,2205,cashew,cashews,food,food,foods,cashew,Is it true that cashews are a type of food?,Is it true that foods is a type of cashew?
553,2209,spark plug,spark plugs,tool,tool,tools,spark plug,Is it true that spark plugs are a type of tool?,Is it true that tools are a type of spark plug?
554,2213,spark plug,spark plugs,auto part,auto part,auto parts,spark plug,Is it true that spark plugs are a type of auto part?,Is it true that auto parts are a type of spark plug?
555,2217,sailboat,sailboats,vehicle,vehicle,vehicles,sailboat,Is it true that sailboats are a type of vehicle?,Is it true that vehicles are a type of sailboat?
556,2221,sailboat,sailboats,water vehicle,water vehicle,water vehicles,sailboat,Is it true that sailboats are a type of water vehicle?,Is it true that water vehicles are a type of sailboat?
557,2225,keyboard,keyboards,musical instrument,musical instrument,musical instruments,keyboard,Is it true that keyboards are a type of musical instrument?,Is it true that musical instruments are a type of keyboard?
558,2229,bean,beans,food,food,foods,bean,Is it true that beans are a type of food?,Is it true that foods is a type of bean?
559,2233,mole,moles,animal,animal,animals,mole,Is it true that moles are a type of animal?,Is it true that animals are a type of mole?
560,2237,mole,moles,mammal,mammal,mammals,mole,Is it true that moles are a type of mammal?,Is it true that mammals are a type of mole?
561,2241,whoopee cushion,whoopee cushions,toy,toy,toys,whoopee cushion,Is it true that whoopee cushions are a type of toy?,Is it true that toys are a type of whoopee cushion?
562,2245,soda,sodas,drink,drink,drinks,soda,Is it true that sodas are a type of drink?,Is it true that drinks are a type of soda?
563,2249,lobster,lobsters,seafood,seafood,seafoods,lobster,Is it true that lobsters are a type of seafood?,Is it true that seafoods is a type of lobster?
564,2253,lobster,lobsters,food,food,foods,lobster,Is it true that lobsters are a type of food?,Is it true that foods is a type of lobster?
565,2257,lobster,lobsters,animal,animal,animals,lobster,Is it true that lobsters are a type of animal?,Is it true that animals are a type of lobster?
566,2261,lobster,lobsters,sea animal,sea animal,sea animals,lobster,Is it true that lobsters are a type of sea animal?,Is it true that sea animals are a type of lobster?
567,2265,porcupine,porcupines,animal,animal,animals,porcupine,Is it true that porcupines are a type of animal?,Is it true that animals are a type of porcupine?
568,2269,porcupine,porcupines,mammal,mammal,mammals,porcupine,Is it true that porcupines are a type of mammal?,Is it true that mammals are a type of porcupine?
569,2273,gazelle,gazelles,mammal,mammal,mammals,gazelle,Is it true that gazelles are a type of mammal?,Is it true that mammals are a type of gazelle?
570,2277,gazelle,gazelles,animal,animal,animals,gazelle,Is it true that gazelles are a type of animal?,Is it true that animals are a type of gazelle?
571,2281,bench,benches,furniture,furniture,furniture,bench,Is it true that benches are a type of furniture?,Is it true that furniture is a type of bench?
